id3	sample_id	sample_type	purity_ascat	purity_absolute	purity_remixt	purity_purple	purity_estimate	purity_hatchet	ploidy_ascat	ploidy_absolute	ploidy_remixt	ploidy_purple	ploidy_hatchet
HCM-BROD-0594-C43	HCM-BROD-0594-C43-85M	M	0.99	0.99	0.99	0.99	0.99	0.927224	2.55	2.92	2.92	2.88	2.964652914
HCM-BROD-0614-C71	HCM-BROD-0614-C71-85B	M	1	0.99	0.99	1	1	0.966723	1.95	2.01	1.91	2	2.014131709
HCM-BROD-0644-C25	HCM-BROD-0644-C25-85M	M	0.99	0.99	0.99	1	0.99	0.912652	2.45	2.53	2.47	2.5	2.51006007
HCM-BROD-0650-C56	HCM-BROD-0650-C56-85N	M	0.99	0.99	0.97664635	0.99	0.99	0.942448	2.45	2.56	2.470246271	2.56	5.16918938
HCM-BROD-0689-C71	HCM-BROD-0689-C71-85R	M	0.99	0.99	0.98	1	0.95	0.991786	2.15	2.12	1.95	2.1	2.132220968
HCM-BROD-0695-C71	HCM-BROD-0695-C71-85R	M	1	0.99	0.99	1	0.99	1	3.85	2.01	1.92	2	2.052448584
HCM-BROD-0703-C16	HCM-BROD-0703-C16-85M	M	1	0.99	0.99	1	NA	0.97746	2.55	2.69	2.65	2.7	5.503466563
HCM-BROD-0710-C43	HCM-BROD-0710-C43-85M	M	0.99	0.99	0.992308298	0.99	0.97	0.980082	2.05	2.14	2.028269921	2.14	2.153151372
HCM-BROD-0716-C43	HCM-BROD-0716-C43-85N	M	0.92	0.99	0.99	1	0.95	0.990043	1.85	2.03	1.97	2.04	4.048614086
HCM-BROD-0781-C71	HCM-BROD-0781-C71-85A	M	0.95	0.99	0.99394166	0.99	0.94	0.937136	3.35	1.8	1.750152663	1.78	3.650522798
HCM-BROD-0871-C49	HCM-BROD-0871-C49-85M	M	1	0.99	0.991828152	1	0.95	0.992277	1.8	1.9	2.138418239	1.88	1.956471247
HCM-BROD-0922-C71	HCM-BROD-0922-C71-85A	M	1	0.99	0.993196459	1	1	0.939657	4	2.12	1.966588145	2.12	2.154498795
HCM-BROD-0926-C16	HCM-BROD-0926-C16-85B	M	0.99	0.99	0.982008744	1	1	0.971111	3	3	2.945961646	3	3.162879138
HCM-BROD-0955-C15	HCM-BROD-0955-C15-85B	M	0.99	0.99	0.983695517	0.99	1	1	2.5	2.66	2.899766442	2.64	2.739014647
HCM-BROD-0959-C18	HCM-BROD-0959-C18-85B	M	1	0.99	0.97229825	1	1	0.999786	3.05	2.89	3.056812832	2.9	3.020144336
HCM-BROD-1121-C71	HCM-BROD-1121-C71-85A	M	0.99	0.99	0.987214231	1	0.99	0.991842	4.05	2.05	2.041202989	2.04	2.063069887
HCM-BROD-1123-C71	HCM-BROD-1123-C71-85A	M	0.96	0.99	0.989750301	1	0.97	0.355028	1.75	1.9	1.81130495	1.88	1.873468894
HCM-BROD-1124-C16	HCM-BROD-1124-C16-85B	M	0.99	0.99	0.984574829	1	1	0.348172	5.15	1.75	2.552375091	1.76	1.672666453
HCM-CSHL-0057-C18	HCM-CSHL-0057-C18-85B	M	0.99	0.99	0.98	0.99	1	0.994283	4.75	2.59	2.56	2.56	2.588797414
HCM-CSHL-0062-C18	HCM-CSHL-0062-C18-85A	M	1	0.99	defer	1	1	0.153994	2.05	2.07	defer	2.1	2.630988077
HCM-CSHL-0073-C25	HCM-CSHL-0073-C25-85B	M	0.96	0.99	0.99	1	1	0.996874	1.75	1.9	1.9	1.86	1.896515589
HCM-CSHL-0074-C25	HCM-CSHL-0074-C25-85A	M	0.99	0.99	0.99	1	1	0.995483	1.85	1.95	1.88	1.94	1.973926934
HCM-CSHL-0078-C25	HCM-CSHL-0078-C25-85B	M	1	0.99	0.99	0.99	NA	0.952483	2.55	2.8	2.62	2.72	2.788439232
