id3	sample_id	sample_type	purity_ascat	purity_absolute	purity_remixt	purity_purple	purity_estimate	purity_hatchet	ploidy_ascat	ploidy_absolute	ploidy_remixt	ploidy_purple	ploidy_hatchet
HCM-SANG-1306-C25	HCM-SANG-1306-C25-85A	M	0.98	0.99	NA	1	NA	0.999991	2.7	2.77	NA	2.74	2.847015631
HCM-SANG-1308-C25	HCM-SANG-1308-C25-85A	M	1	0.99	0.993613646	1	NA	0.922648	3.8	2.01	1.97371703	2	1.995521273
HCM-SANG-1321-C18	HCM-SANG-1321-C18-85A	M	1	0.99	no normal	1	NA	0.849051	3.9	1.99	no normal	1.98	2.005373163
HCM-SANG-1325-C15	HCM-SANG-1325-C15-85A	M	0.99	0.99	0.996515845	1	NA	0.975268	4.2	2.23	2.194419886	2.22	2.247746974
HCM-STAN-0909-C16	HCM-STAN-0909-C16-85A	M	1	0.99	NA	1	0.99	0.17917	2.05	2.03	NA	2.04	6.043405268
HCM-WCMC-0789-C34	HCM-WCMC-0789-C34-85A	M	1	0.99	0.98	0.99	1	1	2.2	2.32	2.26	2.32	2.338607758
HCM-SANG-0299-C15	HCM-SANG-0299-C15-85X	M	NA	0.99	NA	0.99	NA	NA	NA	2.89	NA	2.84	NA
HCM-BROD-0002-C71	HCM-BROD-0002-C71-86A	M	1	1	0.99	0.88	0.92	NA	1.957905	1.82	2.39	1.9	NA
HCM-BROD-0016-C25	HCM-BROD-0016-C25-85A	M	0.92	1	0.99	0.99	0.99	0.944248	3.15	2.86	2.92	2.92	2.929731753
HCM-BROD-0020-C15	HCM-BROD-0020-C15-85A	M	1	1	0.99	1	1	0.923769	2.7	2.83	2.77	2.8	5.629942111
HCM-BROD-0025-C16	HCM-BROD-0025-C16-85A	M	1	1	1	1	1	0.996499	1.8	1.84	1.85	1.82	1.835834642
HCM-BROD-0028-C71	HCM-BROD-0028-C71-85A	M	0.99	1	0.99	1	1	0.9967	1.8	1.9	1.85	1.9	1.900085217
HCM-BROD-0029-C71	HCM-BROD-0029-C71-85C	M	0.98	1	0.95	0.99	0.99	0.538254	2	2.05	1.99	2.04	2.148510653
HCM-BROD-0036-C41	HCM-BROD-0036-C41-85A	M	0.93	1	0.99	1	1	0.820789	1.95	1.99	1.96	2	1.997998311
HCM-BROD-0038-C41	HCM-BROD-0038-C41-86A	M	1	1	0.98	0.98	0.95	NA	5.5	5.64	5.3	5.4	NA
HCM-BROD-0043-C16	HCM-BROD-0043-C16-85B	M	1	1	NA	1	1	0.98857	3.65	3.16	NA	3.25	3.48813225
HCM-BROD-0044-C15	HCM-BROD-0044-C15-85B	M	1	1	0.99	1	1	0.972711	2.8	3.06	2.9	3.05	3.196355139
HCM-BROD-0047-C71	HCM-BROD-0047-C71-85B	M	0.99	1	0.99	1	0.97	0.982313	1.75	1.62	1.59	1.6	3.192883079
HCM-BROD-0047-C71	HCM-BROD-0047-C71-86A	M	NA	1	0.99	1	0.96	NA	NA	1.55	1.58	1.54	NA
HCM-BROD-0048-C71	HCM-BROD-0048-C71-85A	M	0.99	1	0.99	1	1	1	1.95	2.03	1.8	2.02	2.042851213
HCM-BROD-0051-C64	HCM-BROD-0051-C64-85A	M	1	1	0.99	1	NA	0.994126	1.95	2.05	2	2.04	2.048564667
HCM-BROD-0051-C64	HCM-BROD-0051-C64-86A	M	NA	1	0.99	1	0.98	NA	NA	2.05	2.43	2.04	NA
HCM-BROD-0055-C64	HCM-BROD-0055-C64-85A	M	0.44	1	NA	0.65	0.97	0.107317	1.95	2.01	NA	2.06	3.210467865
HCM-BROD-0095-C15	HCM-BROD-0095-C15-85A	M	1	1	0.99	1	1	0.993113	2.4	2.51	2.31	2.5	2.571381871
HCM-BROD-0096-C15	HCM-BROD-0096-C15-85C	M	0.99	1	0.99	1	1	1	2.8	2.86	2.81	2.82	2.8811828
HCM-BROD-0097-C15	HCM-BROD-0097-C15-85B	M	0.97	1	0.98	1	1	0.533309	3.4	3.49	3.37	3.35	1.881930291
HCM-BROD-0099-C15	HCM-BROD-0099-C15-85B	M	0.99	1	0.99	1	1	0.99377	1.9	1.99	1.93	1.96	2.01342238
HCM-BROD-0100-C15	HCM-BROD-0100-C15-85A	M	1	1	0.98	1	1	0.976395	3	2.94	2.66	2.9	5.95491516
HCM-BROD-0101-C15	HCM-BROD-0101-C15-85A	M	0.98	1	0.99	1	1	0.988549	2.65	2.51	2.43	2.5	2.510992647
HCM-BROD-0102-C71	HCM-BROD-0102-C71-85B	M	0.98	1	0.98	0.98	1	1	2.75	1.79	3.65	3.5	3.494247666
HCM-BROD-0103-C71	HCM-BROD-0103-C71-85B	M	1	1	0.99	1	1	0.98706	1.95	1.99	1.93	1.98	1.989024492
HCM-BROD-0104-C71	HCM-BROD-0104-C71-85B	M	0.93	1	0.99	1	1	1	2.05	2.05	2.51	2.04	2.049235698
HCM-BROD-0108-C25	HCM-BROD-0108-C25-85E	M	1	1	0.99	0.98	1	0.394212	3.35	3.46	3.73	3.7	3.011116822
HCM-BROD-0112-C25	HCM-BROD-0112-C25-85A	M	0.97	1	0.99	1	NA	0.971115	3.2	3	2.96	3	3.104303673
HCM-BROD-0115-C16	HCM-BROD-0115-C16-85A	M	0.97	1	0.99	1	1	0.995428	1.95	2.01	1.98	1.98	2.025128117
HCM-BROD-0120-C15	HCM-BROD-0120-C15-85A	M	0.95	1	0.98	0.99	1	0.594507	3.9	4.44	4.26	4.45	1.729031358
HCM-BROD-0121-C41	HCM-BROD-0121-C41-85B	M	1	1	NA	1	1	0.997591	2.65	2.51	NA	1.24	1.344643436
HCM-BROD-0122-C25	HCM-BROD-0122-C25-85A	M	0.97	1	0.98	0.99	NA	0.354816	3.65	3.19	3.16	6.4	3.021459655
HCM-BROD-0125-C25	HCM-BROD-0125-C25-85B	M	1	1	0.98	0.99	1	0.90983	3.2	3.19	3.08	3.15	3.294268422
HCM-BROD-0129-C25	HCM-BROD-0129-C25-85C	M	0.99	1	0.99	1	1	0.999819	1.9	1.92	1.92	1.92	1.937771209
HCM-BROD-0131-C25	HCM-BROD-0131-C25-85M	M	0.99	1	0.99	1	0.99	0.982116	3.15	3.13	2.83	3.05	3.154916623
HCM-BROD-0194-C15	HCM-BROD-0194-C15-85B	M	0.94	1	0.96	1	0.99	0.77162	2.75	3.1	2.82	1.58	3.367921666
HCM-BROD-0195-C71	HCM-BROD-0195-C71-85A	M	1	1	0.97	0.98	1	0.877943	4.45	5.7	5.23	5.7	5.625807534
HCM-BROD-0196-C71	HCM-BROD-0196-C71-85A	M	0.95	1	0.99	1	1	0.996487	1.8	1.9	1.86	1.9	1.964049183
HCM-BROD-0199-C71	HCM-BROD-0199-C71-85R	M	0.98	1	0.99	1	NA	0.995307	3.6	1.95	1.88	1.94	1.963758151
HCM-BROD-0200-C71	HCM-BROD-0200-C71-85B	M	1	1	0.99	1	1	0.257186	1.9	1.88	1.72	1.86	3.680285067
HCM-BROD-0204-C25	HCM-BROD-0204-C25-85A	M	0.99	1	0.99	1	1	0.995907	1.7	1.9	1.84	1.88	1.902588021
HCM-BROD-0206-C25	HCM-BROD-0206-C25-85A	M	1	1	0.99	1	1	0.994427	2.5	2.48	2.42	2.48	2.556875506
HCM-BROD-0210-C71	HCM-BROD-0210-C71-85R	M	0.99	1	0.99	1	1	0.975873	4.5	1.58	1.66	1.54	3.010720324
HCM-BROD-0219-C15	HCM-BROD-0219-C15-85A	M	0.98	1	0.99	1	NA	0.944149	3.5	4.01	3.71	3.85	4.016640857
HCM-BROD-0223-C43	HCM-BROD-0223-C43-85M	M	1	1	0.99	1	1	0.997481	1.65	1.79	1.75	1.78	1.775677716
HCM-BROD-0229-C25	HCM-BROD-0229-C25-85A	M	0.95	1	0.99	1	1	0.994778	1.8	1.88	1.9	1.9	1.915225129
HCM-BROD-0234-C49	HCM-BROD-0234-C49-85M	M	0.93	1	0.98	0.99	0.94	0.514732	4.6	4.71	4.7	4.65	3.005472783
HCM-BROD-0235-C16	HCM-BROD-0235-C16-85B	M	1	1	0.99	1	0.99	0.959287	3.25	3.29	3.21	3.25	3.428784131
HCM-BROD-0253-C15	HCM-BROD-0253-C15-85B	M	0.98	1	0.99	0.99	1	0.993331	2.9	2.86	2.72	2.84	2.856526519
HCM-BROD-0328-C15	HCM-BROD-0328-C15-85A	M	0.97	1	0.99	0.99	0.99	0.231531	2.65	3.39	3.42	3.35	3.960754991
HCM-BROD-0339-C43	HCM-BROD-0339-C43-85M	M	0.99	1	0.99	1	1	0.971449	2.5	2.51	1.86	2.54	2.608156864
HCM-BROD-0344-C25	HCM-BROD-0344-C25-85A	M	0.98	1	0.99	1	1	0.971086	2.3	2.64	2.88	2.64	2.739496972
HCM-BROD-0353-C64	HCM-BROD-0353-C64-85A	M	0.32	1	0.090691223	0.44	0.98	0.03	2	1.99	2.66460806	2	1.429150685
HCM-BROD-0356-C16	HCM-BROD-0356-C16-85A	M	0.98	1	0.99	1	0.99	0.995341	1.75	1.82	1.93	1.78	1.860758175
HCM-BROD-0408-C71	HCM-BROD-0408-C71-85R	M	0.9	1	0.99	1	0.94	0.600125	1.65	1.82	1.78	1.8	3.57023909
HCM-BROD-0415-C71	HCM-BROD-0415-C71-85R	M	1	1	0.99	1	0.98	0.421144	3.95	1.95	3.82	1.96	2.062841718
HCM-BROD-0416-C71	HCM-BROD-0416-C71-85B	M	0.95	1	0.99	1	1	1	2	2.05	2.26	2.06	2.06253178
HCM-BROD-0417-C71	HCM-BROD-0417-C71-85A	M	1	1	0.99	0.99	0.98	0.991949	3.3	3.32	3.13	3.3	3.374291599
HCM-BROD-0418-C71	HCM-BROD-0418-C71-85B	M	0.97	1	0.988648493	0.98	0.99	0.96406	3.85	3.97	3.851910153	3.95	4.0100341
HCM-BROD-0419-C71	HCM-BROD-0419-C71-85A	M	1	1	0.99	1	1	0.188662	1.75	1.73	1.64	1.8	4.684200365
HCM-BROD-0421-C71	HCM-BROD-0421-C71-85A	M	0.98	1	0.98	0.99	1	0.911662	4.85	4.39	4.86	2.3	4.498201949
HCM-BROD-0444-C43	HCM-BROD-0444-C43-85O	M	0.83	1	0.99	1	NA	1	2.1	2.2	2.2	2.2	2.224382089
HCM-BROD-0445-C15	HCM-BROD-0445-C15-85M	M	0.98	1	0.99	1	0.99	0.947449	2.65	2.86	2.64	2.68	5.622160379
HCM-BROD-0448-C15	HCM-BROD-0448-C15-85M	M	0.99	1	0.99	0.99	1	0.956615	3.3	3	3.27	3	6.000586591
HCM-BROD-0449-C34	HCM-BROD-0449-C34-85M	M	1	1	0.99	1	1	0.992759	2.65	2.77	2.64	1.38	2.715715602
HCM-BROD-0450-C15	HCM-BROD-0450-C15-85M	M	0.99	1	0.99	1	0.99	0.993478	2.2	2.27	1.92	2.2	2.310345977
HCM-BROD-0451-C15	HCM-BROD-0451-C15-85C	M	1	1	0.98	1	0.99	0.953559	3.3	2.46	3.59	2.44	4.849236243
HCM-BROD-0453-C16	HCM-BROD-0453-C16-85A	M	0.98	1	0.99	1	1	0.923007	5.2	2.77	2.74	2.72	2.512760657
HCM-BROD-0458-C15	HCM-BROD-0458-C15-85N	M	1	1	0.99	1	0.98	0.983294	2.3	2.44	2.33	2.4	2.483439045
HCM-BROD-0472-C34	HCM-BROD-0472-C34-85M	M	0.98	1	0.99	1	0.99	0.978825	2.95	3	2.91	2.98	3.034346652
HCM-BROD-0478-C16	HCM-BROD-0478-C16-85M	M	1	1	0.99	1	1	0.994508	1.95	2.2	2.14	2.2	2.209667173
HCM-BROD-0483-C16	HCM-BROD-0483-C16-85M	M	1	1	0.99	0.99	1	0.413879	2.75	2.69	2.59	2.62	5.94664886
HCM-BROD-0483-C16	HCM-BROD-0483-C16-85N	M	1	1	0.99	0.99	1	0.870598	2.85	2.53	2.59	2.54	4.995049576
HCM-BROD-0485-C15	HCM-BROD-0485-C15-85M	M	0.96	1	0.99	0.99	0.99	0.587154	1.95	2.16	2.08	2.14	4.420905887
HCM-BROD-0555-C15	HCM-BROD-0555-C15-85M	M	1	1	0.99	0.99	1	0.993637	2.55	2.77	2.63	2.66	2.769976861
HCM-BROD-0559-C16	HCM-BROD-0559-C16-85M	M	0.97	1	0.99	1	1	0.935357	3.25	1.8	3.46	1.76	3.542695606
HCM-BROD-0564-C71	HCM-BROD-0564-C71-85R	M	0.98	1	0.99	1	0.99	0.190688	3.4	1.86	3.81	1.82	3.660373152
HCM-BROD-0568-C15	HCM-BROD-0568-C15-85M	M	1	1	0.99	1	1	0.927733	3.15	3.29	3.14	3.15	3.319021773
HCM-BROD-0569-C43	HCM-BROD-0569-C43-85M	M	1	1	0.98	1	0.99	0.986167	3.65	3.78	3.74	3.8	3.809343976
HCM-BROD-0574-C71	HCM-BROD-0574-C71-85B	M	0.95	1	0.99	1	1	0.86383	1.85	1.86	1.74	1.86	1.913646035
HCM-BROD-0595-C43	HCM-BROD-0595-C43-85M	M	0.98	1	0.99	1	1	0.982526	3	3.13	3.4	3.15	3.216163577
HCM-BROD-0597-C64	HCM-BROD-0597-C64-85A	M	1	1	0.930189651	1	0.9	0.976369	1.95	1.99	2.427219851	2	2.001184315
HCM-BROD-0611-C71	HCM-BROD-0611-C71-85R	M	0.97	1	0.99	1	1	0.994956	1.85	1.95	1.95	1.94	1.926307606
HCM-BROD-0613-C71	HCM-BROD-0613-C71-85A	M	0.99	1	0.99	1	0.97	0.994554	2.25	2.36	2.26	2.38	2.375898696
HCM-BROD-0643-C43	HCM-BROD-0643-C43-85N	M	0.98	1	0.99	1	0.99	0.988854	2	3.74	3.75	3.75	3.805114978
HCM-BROD-0648-C71	HCM-BROD-0648-C71-85R	M	1	1	0.99	1	1	0.992112	1.95	2.03	2.46	2.02	2.044431028
HCM-BROD-0676-C71	HCM-BROD-0676-C71-85R	M	0.98	1	0.99	1	1	0.986082	1.85	1.93	1.83	1.92	1.938923765
HCM-BROD-0677-C43	HCM-BROD-0677-C43-85M	M	0.98	1	0.984042769	1	1	0.9916	3.15	3.53	3.494923344	3.55	3.606782019
HCM-BROD-0678-C71	HCM-BROD-0678-C71-85A	M	1	1	0.085368892	0.96	0.99	0.0741233	1.95	2.01	2.746971578	2	3.791621416
HCM-BROD-0679-C43	HCM-BROD-0679-C43-85M	M	0.97	1	0.99	1	0.93	0.995721	1.9	1.95	2.06	1.94	1.977742603
HCM-BROD-0693-C71	HCM-BROD-0693-C71-85A	M	1	1	0.99	1	1	0.272301	2	2.12	2.06	2.1	2.873318445
HCM-BROD-0702-C43	HCM-BROD-0702-C43-85M	M	1	1	0.99	1	0.98	0.970431	2.45	2.48	2.41	2.46	4.901335682
HCM-BROD-0721-C43	HCM-BROD-0721-C43-85M	M	0.98	1	0.98	0.99	0.99	0.898614	3.2	1.51	4.86	3	3.218516496
HCM-BROD-0724-C43	HCM-BROD-0724-C43-85M	M	0.99	1	0.985474586	1	1	0.524353	4	3.97	3.906359272	4	2.336401967
HCM-BROD-0745-C43	HCM-BROD-0745-C43-85M	M	0.95	1	0.99	1	0.92	0.436937	3.2	2.97	2.96	2.88	1.525264169
HCM-BROD-0758-C43	HCM-BROD-0758-C43-85N	M	0.99	1	0.99	1	0.99	0.973348	3.4	3.53	3.28	3.5	3.535005843
HCM-BROD-0761-C71	HCM-BROD-0761-C71-85B	M	1	1	0.992833702	1	1	0.931874	1.95	2.05	1.988658924	2.06	4.112091111
HCM-BROD-0762-C49	HCM-BROD-0762-C49-01A	T	0.26	1	0.090021913	0.24	0.91	0.166315	2	1.99	3.121915874	2	2.045121253
HCM-BROD-0782-C71	HCM-BROD-0782-C71-85B	M	1	1	0.994159029	1	1	0.999986	2	2.01	2.039657562	2	1.98515553
HCM-BROD-0793-C15	HCM-BROD-0793-C15-85M	M	0.91	1	0.98	1	0.99	0.529832	2.9	1.62	2.94	1.58	4.43460564
HCM-BROD-0794-C16	HCM-BROD-0794-C16-85M	M	1	1	0.982163771	1	1	0.990066	2.05	2.03	2.027229925	2.04	2.040436217
HCM-BROD-0829-C71	HCM-BROD-0829-C71-85A	M	1	1	0.993385537	1	0.97	0.994135	1.95	2.01	1.970831744	2	2.010053918
HCM-BROD-0831-C71	HCM-BROD-0831-C71-85B	M	1	1	0.99	1	1	0.995111	1.9	1.92	1.92	1.92	1.91688045
HCM-BROD-0834-C43	HCM-BROD-0834-C43-85M	M	0.94	1	0.99	1	1	1	1.9	2.05	1.99	2.06	2.037536306
HCM-BROD-0874-C43	HCM-BROD-0874-C43-85N	M	1	1	0.98219463	1	1	0.451507	3.45	5.87	3.00121707	2.74	3.80648252
HCM-BROD-0924-C34	HCM-BROD-0924-C34-85A	M	0.99	1	0.990508844	1	0.99	1	2.2	2.36	2.229533488	2.34	2.342880594
HCM-BROD-0925-C71	HCM-BROD-0925-C71-85A	M	1	1	0.995184056	1	1	0.995407	1.9	1.97	1.992949062	1.96	1.999558239
HCM-BROD-0926-C16	HCM-BROD-0926-C16-85N	M	1	1	0.982185695	1	1	0.995648	2.8	1.38	3.205223895	1.38	3.127630343
HCM-BROD-0953-C34	HCM-BROD-0953-C34-85B	M	1	1	0.98263021	1	0.99	0.907057	4.95	2.61	2.80473981	2.58	5.300741158
HCM-BROD-0954-C34	HCM-BROD-0954-C34-85A	M	1	1	0.992786543	1	0.99	0.999946	2.8	2.94	2.89383775	2.92	2.958807917
HCM-BROD-0962-C16	HCM-BROD-0962-C16-85A	M	0.84	1	0.978493279	0.94	0.99	0.302118	3.55	1.68	3.26804623	1.7	2.985261668
HCM-BROD-1078-C49	HCM-BROD-1078-C49-85B	M	0.78	1	0.986788677	NA	0.92	0.201503	1.9	1.88	1.835107877	NA	1.787489949
HCM-BROD-1119-C43	HCM-BROD-1119-C43-85B	M	1	1	0.994998922	1	1	1	1.95	2.03	2.165675244	2.04	2.052959398
HCM-BROD-1127-C15	HCM-BROD-1127-C15-85B	M	1	1	0.991712449	1	0.99	0.984411	3.2	3.46	3.141012392	3.4	3.529846751
HCM-CSHL-0056-C18	HCM-CSHL-0056-C18-01B	T	0.58	1	0.22	0.32	0.85	0.0849141	3.75	2.01	2.3	2.1	2.733018915
HCM-CSHL-0056-C18	HCM-CSHL-0056-C18-85B	M	1	1	defer	1	1	0.0774209	1.95	1.99	defer	2	2.926234903
HCM-CSHL-0059-C25	HCM-CSHL-0059-C25-85A	M	1	1	0.98	1	1	0.496902	3.75	1.95	3.85	1.94	2.023900403
HCM-CSHL-0060-C18	HCM-CSHL-0060-C18-85A	M	0.99	1	0.98	1	0.99	0.982263	3.15	3.13	3.41	3.15	3.125415749
HCM-CSHL-0061-C18	HCM-CSHL-0061-C18-85A	M	1	1	0.98	0.99	1	0.919245	3.75	3.49	3.57	3.55	3.608277044
HCM-CSHL-0063-C18	HCM-CSHL-0063-C18-85A	M	1	1	0.99	1	1	0.958903	3.8	3.86	3.79	1.94	3.868090435
HCM-CSHL-0075-C25	HCM-CSHL-0075-C25-85A	M	1	0.97	0.97	1	0.99	0.580376	3.15	5.37	5.14	1.76	3.269205023
HCM-CSHL-0076-C25	HCM-CSHL-0076-C25-85A	M	0.92	1	0.98	0.47	1	0.954407	1.7	1.6	3.2	2.64	3.115829762
HCM-CSHL-0077-C25	HCM-CSHL-0077-C25-85A	M	0.99	1	0.98	1	1	0.924723	5.05	3.6	3.73	1.8	3.672237682
HCM-CSHL-0085-C24	HCM-CSHL-0085-C24-85A	M	1	1	0.98	1	0.99	0.999382	2.15	2.46	2.46	2.42	2.449433457
HCM-CSHL-0085-C24	HCM-CSHL-0085-C24-85M	M	1	1	0.99	1	0.99	1	4.2	2.14	2.04	2.12	2.146299246
HCM-CSHL-0088-C25	HCM-CSHL-0088-C25-85A	M	0.94	1	0.99	1	1	0.996478	1.8	1.92	1.85	1.88	1.940336729
HCM-CSHL-0090-C25	HCM-CSHL-0090-C25-86A	M	NA	1	0.99	0.99	1	NA	NA	3.32	2.97	2.96	NA
HCM-CSHL-0092-C25	HCM-CSHL-0092-C25-85A	M	1	1	0.99	1	1	0.995818	3.8	1.97	1.9	1.96	1.960880274
HCM-CSHL-0162-C19	HCM-CSHL-0162-C19-85B	M	1	1	defer	1	NA	0.617468	2.65	2.8	defer	2.82	2.604523058
HCM-CSHL-0174-C22	HCM-CSHL-0174-C22-85A	M	1	1	0.99	1	1	0.863399	1.95	1.75	2.2	1.74	3.544044866
HCM-CSHL-0174-C22	HCM-CSHL-0174-C22-86A	M	NA	1	0.98	0.99	1	NA	NA	3.42	3.56	3.35	NA
HCM-CSHL-0176-C25	HCM-CSHL-0176-C25-85A	M	0.99	1	0.98	1	1	0.994462	3.35	1.77	3.73	1.78	1.924423665
HCM-CSHL-0178-C25	HCM-CSHL-0178-C25-85A	M	0.97	1	0.99	1	1	0.297821	1.8	1.97	1.99	1.96	2.301329914
HCM-CSHL-0180-C25	HCM-CSHL-0180-C25-85B	M	0.94	1	0.99	1	1	0.995369	1.75	1.77	1.75	1.76	1.813674605
HCM-CSHL-0182-C25	HCM-CSHL-0182-C25-85A	M	0.95	1	0.99	1	1	0.912026	4.65	2.53	2.4	2.48	5.042381311
HCM-CSHL-0183-C25	HCM-CSHL-0183-C25-85A	M	0.96	1	0.99	1	1	0.994399	2.15	1.68	3.43	3.35	3.434786976
HCM-CSHL-0184-C25	HCM-CSHL-0184-C25-85A	M	0.95	1	0.98	0.99	1	0.962591	3.8	1.97	3.89	2	4.203507387
HCM-CSHL-0192-C25	HCM-CSHL-0192-C25-85A	M	0.94	1	0.99	0.93	1	0.94948	1.95	1.93	1.83	1.94	1.973349668
HCM-CSHL-0193-C25	HCM-CSHL-0193-C25-85A	M	0.98	1	0.99	1	1	0.997621	1.7	1.8	1.79	1.72	1.819902156
HCM-CSHL-0237-C18	HCM-CSHL-0237-C18-85A	M	0.96	1	0.97	0.99	0.99	0.305712	3.25	3.9	3.86	3.95	4.210771481
HCM-CSHL-0243-C18	HCM-CSHL-0243-C18-85A	M	0.98	1	0.99	1	1	0.988363	2	2.1	2.03	2.08	2.106615923
HCM-CSHL-0244-C20	HCM-CSHL-0244-C20-85A	M	1	1	0.99	1	1	0.887922	2.4	2.18	2.16	2.16	4.466612876
HCM-CSHL-0245-C18	HCM-CSHL-0245-C18-85A	M	1	1	0.99	1	0.99	0.909179	2.15	2.23	2.25	2.26	4.550818582
HCM-CSHL-0245-C18	HCM-CSHL-0245-C18-85M	M	1	1	0.99	0.99	0.99	0.972641	4.55	4.57	2.28	2.3	4.580779954
HCM-CSHL-0247-C18	HCM-CSHL-0247-C18-85A	M	1	1	0.99	1	1	0.99692	1.8	1.92	1.91	1.94	1.940968901
HCM-CSHL-0247-C18	HCM-CSHL-0247-C18-85M	M	0.99	1	0.98	1	1	0.309802	4.85	1.82	4.97	1.86	4.026086795
HCM-CSHL-0250-C50	HCM-CSHL-0250-C50-85C	M	0.97	1	0.99	1	NA	0.992873	3.8	2.8	2.6	2.84	2.861617537
HCM-CSHL-0320-C02	HCM-CSHL-0320-C02-85A	M	0.97	1	0.99	1	NA	0.928421	3.2	3.46	3.32	1.72	3.587043911
HCM-CSHL-0322-C20	HCM-CSHL-0322-C20-85A	M	1	1	0.99	1	1	1	3.35	3.35	3.23	3.35	3.407895494
HCM-CSHL-0366-C50	HCM-CSHL-0366-C50-86A	M	NA	1	0.99	1	1	NA	NA	2.51	2.49	2.54	NA
HCM-CSHL-0371-C25	HCM-CSHL-0371-C25-85A	M	0.96	1	0.99	1	1	0.997293	1.7	1.75	1.74	1.74	1.741156337
HCM-CSHL-0376-D37	HCM-CSHL-0376-D37-85P	M	0.38	1	defer	1	1	0.180919	1.85	2.01	defer	2	2.010613152
HCM-CSHL-0377-C18	HCM-CSHL-0377-C18-85A	M	1	1	0.99	0.99	1	0.993854	1.95	2.01	1.94	2	2.033481
HCM-CSHL-0378-C18	HCM-CSHL-0378-C18-85A	M	0.37	1	defer	1	1	0.0714235	1.85	1.99	defer	2	2.763003779
HCM-CSHL-0381-C20	HCM-CSHL-0381-C20-85A	M	0.94	1	0.99	1	1	0.989979	1.85	1.99	1.98	1.96	1.989753054
HCM-CSHL-0384-D37	HCM-CSHL-0384-D37-85P	M	1	1	0.96	1	1	0.290676	1.95	1.99	1.95	1.98	1.960843634
HCM-CSHL-0393-C18	HCM-CSHL-0393-C18-85A	M	1	1	0.990925337	1	1	0.745997	2.35	2.08	1.965899419	2.04	4.1667192
HCM-CSHL-0403-C25	HCM-CSHL-0403-C25-85D	M	0.93	1	0.99	1	1	0.993589	2	1.95	1.93	1.94	1.937240448
HCM-CSHL-0429-C06	HCM-CSHL-0429-C06-85C	M	0.99	1	0.986699235	0.99	1	0.499178	3.55	3.74	3.629281792	3.65	1.754011097
HCM-CSHL-0432-C20	HCM-CSHL-0432-C20-85A	M	0.91	1	0.99	1	1	0.993982	2	2.05	2.34	2.06	2.045591579
HCM-CSHL-0438-C18	HCM-CSHL-0438-C18-85A	M	1	1	0.99	1	0.99	0.99147	5.15	2.64	2.78	2.64	2.69581157
HCM-CSHL-0459-C17	HCM-CSHL-0459-C17-01B	T	0.5	1	defer	0.33	0.62	0.128105	1.85	1.99	defer	2.02	2.029474635
HCM-CSHL-0461-D12	HCM-CSHL-0461-D12-85P	M	0.8	1	defer	0.98	1	0.142429	1.95	1.99	defer	2	2.026684287
HCM-CSHL-0507-C20	HCM-CSHL-0507-C20-85A	M	1	1	0.99	1	1	0.98278	3.65	3.56	3.49	1.78	3.507612544
HCM-CSHL-0511-C24	HCM-CSHL-0511-C24-85A	M	1	1	0.99	1	1	0.996711	1.9	1.97	2.3	1.92	1.109900209
HCM-CSHL-0512-C24	HCM-CSHL-0512-C24-85N	M	0.99	1	0.99	1	0.99	0.995214	1.85	1.82	1.83	1.82	1.842664952
HCM-CSHL-0512-C24	HCM-CSHL-0512-C24-85O	M	0.99	1	0.99	1	1	0.995322	1.85	1.82	1.83	1.82	1.844243298
HCM-CSHL-0516-C56	HCM-CSHL-0516-C56-85B	M	NA	1	0.1	0.08	1	0.03	NA	1.99	2.98	2	1.583612241
HCM-CSHL-0582-C18	HCM-CSHL-0582-C18-85M	M	1	1	0.99	1	1	0.742618	5	2.89	2.78	2.88	5.793359208
HCM-CSHL-0584-C19	HCM-CSHL-0584-C19-85M	M	0.98	1	0.99	1	0.99	0.995718	4.35	2.16	2.16	2.18	4.427497516
HCM-CSHL-0586-C32	HCM-CSHL-0586-C32-85D	M	1	1	0.980686658	0.99	1	0.855136	3.65	1.97	4.064880193	1.92	3.916114701
HCM-CSHL-0598-C25	HCM-CSHL-0598-C25-85B	M	0.96	1	0.990363196	0.99	0.99	0.985182	2.6	2.27	2.628868802	2.68	2.745425534
HCM-CSHL-0600-C25	HCM-CSHL-0600-C25-85A	M	1	1	0.98	0.99	1	0.954898	1.75	3.35	3.29	3.35	3.359005002
HCM-CSHL-0603-C18	HCM-CSHL-0603-C18-85M	M	0.99	1	0.986643283	1	1	1	3.1	3.1	2.932948487	3.05	3.047421254
HCM-CSHL-0606-C17	HCM-CSHL-0606-C17-85A	M	1	1	0.98	0.99	0.99	0.927131	2	2.05	2.44	2.04	2.063554023
HCM-CSHL-0607-C19	HCM-CSHL-0607-C19-85A	M	0.97	1	0.99	0.99	0.99	0.955408	2.95	3.03	3.05	3.05	3.033294875
HCM-CSHL-0617-C22	HCM-CSHL-0617-C22-85A	M	0.99	1	0.99	1	1	0.995242	1.85	2.03	1.84	2.02	2.022300237
HCM-CSHL-0618-C18	HCM-CSHL-0618-C18-85M	M	1	1	0.984425842	0.99	1	0.30211	3.35	3.39	3.438976124	3.45	3.427898264
HCM-CSHL-0623-C18	HCM-CSHL-0623-C18-85A	M	1	1	0.99	1	0.99	0.849771	4.15	2.92	2.8	2.9	5.831383817
