,case_id3,cell_type,Diagnosis_TCGA_HCMI_Code,umap1,umap2
TCGA-AC-A2QI-01,,TCGA Tumor,BRCA,4.442663636,-1.402877878
TCGA-HC-7211-01,,TCGA Tumor,PRAD,8.541028466,8.234640528
TCGA-2Z-A9J3-01,,TCGA Tumor,KIRP,-0.858113203,7.848823954
TCGA-GF-A3OT-06,,TCGA Tumor,SKCM,1.103854385,1.146117021
TCGA-GM-A3XN-01,,TCGA Tumor,BRCA,4.198731389,-1.660500597
TCGA-US-A77J-01,,TCGA Tumor,PAAD,-2.342182193,-2.008305858
TCGA-C8-A275-01,,TCGA Tumor,BRCA,5.093679872,-1.168015789
TCGA-UD-AAC7-01,,TCGA Tumor,MESO,-0.120222661,1.508736063
TCGA-4L-AA1F-01,,TCGA Tumor,PRAD,8.252639261,8.380625178
TCGA-AK-3433-01,,TCGA Tumor,KIRC,-3.544416699,5.093361784
TCGA-DD-AAD8-01,,TCGA Tumor,LIHC,0.840366956,4.270368982
TCGA-AO-A129-01,,TCGA Tumor,BRCA,0.92081913,-1.374811124
TCGA-P3-A6T3-01,,TCGA Tumor,HNSC,-6.659179721,0.492920597
TCGA-ER-A19G-06,,TCGA Tumor,SKCM,5.708207097,3.623421122
TCGA-22-4601-01,,TCGA Tumor,LUSC,-5.536270652,2.439174343
TCGA-CV-A468-01,,TCGA Tumor,HNSC,-6.510693106,0.548050661
TCGA-EJ-5516-01,,TCGA Tumor,PRAD,7.709821191,9.215292383
TCGA-DX-A8BV-01,,TCGA Tumor,SARC,1.273826804,1.696193505
TCGA-AO-A12E-01,,TCGA Tumor,BRCA,4.652843442,-1.503001641
TCGA-YF-AA3L-01,,TCGA Tumor,BLCA,-3.628906283,-0.012649219
TCGA-55-A48Z-01,,TCGA Tumor,LUAD,-0.355114732,-2.767545055
TCGA-56-7730-01,,TCGA Tumor,LUSC,-5.433888945,2.585841585
TCGA-BR-8059-01,,TCGA Tumor,STAD,-2.668079886,-1.973467897
TCGA-EL-A3MZ-01,,TCGA Tumor,THCA,10.98427531,-0.284373235
TCGA-CD-8527-01,,TCGA Tumor,STAD,-3.044821534,-2.7191828
TCGA-BH-A1F8-01,,TCGA Tumor,BRCA,5.353895154,-1.818690609
TCGA-G3-AAV3-01,,TCGA Tumor,LIHC,1.328912046,3.868658711
TCGA-QK-A6V9-01,,TCGA Tumor,HNSC,-5.958006415,2.103650738
TCGA-A3-3306-01,,TCGA Tumor,KIRC,6.228468862,-6.832172941
TCGA-XF-A9SJ-01,,TCGA Tumor,BLCA,-3.427177224,-1.969520878
TARGET-20-PARAJX-09,,TCGA Tumor,LAML,-4.723900351,-11.42698915
TCGA-D8-A1JK-01,,TCGA Tumor,BRCA,4.135367599,-0.89824612
TCGA-WE-A8ZO-06,,TCGA Tumor,SKCM,5.766448465,3.763156344
TCGA-ZF-A9R0-01,,TCGA Tumor,BLCA,-3.698675666,-0.115389417
TCGA-DU-7008-01,,TCGA Tumor,LGG,2.498034444,-10.37150152
TCGA-A8-A08X-01,,TCGA Tumor,BRCA,4.093193498,-0.889286767
TCGA-AR-A2LN-01,,TCGA Tumor,BRCA,4.127760139,-1.36478443
TCGA-HJ-7597-01,,TCGA Tumor,STAD,-4.490844283,-3.525075268
TCGA-AB-2949-03,,TCGA Tumor,LAML,-4.856662783,-11.54249532
TCGA-EI-6882-01,,TCGA Tumor,READ,-4.983259234,-3.725197862
TCGA-BP-4975-01,,TCGA Tumor,KIRC,6.25999352,-6.857866834
TCGA-AZ-4315-01,,TCGA Tumor,COAD,-6.150690589,-3.851225208
TCGA-3M-AB46-01,,TCGA Tumor,STAD,-4.110910449,-3.631736111
TARGET-10-PARUGP-09,,TCGA Tumor,Target-ALL,-8.398580107,-8.352969717
TCGA-DX-A48R-01,,TCGA Tumor,SARC,1.975989309,1.568262268
TCGA-VM-A8C9-01,,TCGA Tumor,LGG,1.294895437,-9.756808828
TCGA-EB-A85I-01,,TCGA Tumor,SKCM,5.789544549,3.4418494
TCGA-D6-A6EK-01,,TCGA Tumor,HNSC,-6.44109014,0.142783624
TCGA-CJ-4869-01,,TCGA Tumor,KIRC,5.945205178,-6.051387857
TCGA-AA-3506-01,,TCGA Tumor,COAD,-5.83474401,-3.594884228
TARGET-30-PANLET-01,,TCGA Tumor,NB,2.709075179,12.96060031
TCGA-3A-A9I9-01,,TCGA Tumor,PAAD,-2.959240231,-2.427804779
TCGA-A4-8098-01,,TCGA Tumor,KIRP,5.710087266,-5.242725443
TCGA-BR-4255-01,,TCGA Tumor,STAD,-2.730156932,-2.002443146
TCGA-EA-A3HT-01,,TCGA Tumor,CESC,-6.37963346,1.639560391
TCGA-IN-A7NT-01,,TCGA Tumor,STAD,-6.036543879,1.109947492
TCGA-29-1784-01,,TCGA Tumor,OV,1.777532068,8.52738135
TCGA-AN-A0FF-01,,TCGA Tumor,BRCA,5.45526835,-1.430376481
TCGA-ZG-A9LM-01,,TCGA Tumor,PRAD,8.94006392,8.123684336
TCGA-EB-A4OZ-01,,TCGA Tumor,SKCM,-6.433364901,0.00789284
TCGA-J8-A3YD-01,,TCGA Tumor,THCA,11.43215605,0.92029636
TCGA-06-0743-01,,TCGA Tumor,GBM,1.211033192,-9.920020651
TCGA-E9-A1R6-01,,TCGA Tumor,BRCA,5.505799737,-1.612401675
TCGA-R5-A7ZI-01,,TCGA Tumor,STAD,-4.460745368,-3.443668197
TCGA-23-1119-01,,TCGA Tumor,OV,1.647918787,7.845400263
TCGA-AJ-A3NC-01,,TCGA Tumor,UCEC,1.362016287,6.603776385
TARGET-30-PANNMS-01,,TCGA Tumor,NB,2.697151151,12.95132487
TCGA-4V-A9QI-01,,TCGA Tumor,THYM,-10.90552572,6.033897329
TCGA-G3-A25X-01,,TCGA Tumor,LIHC,0.289786864,3.464993645
TCGA-BP-4983-01,,TCGA Tumor,KIRC,6.062436071,-5.463760446
TCGA-B4-5378-01,,TCGA Tumor,KIRC,0.919250217,6.595119406
TCGA-BR-A4J6-01,,TCGA Tumor,STAD,-3.121958766,-2.875700067
TCGA-DQ-7591-01,,TCGA Tumor,HNSC,-5.603344474,1.837634255
TCGA-A8-A09A-01,,TCGA Tumor,BRCA,3.993905034,-1.863886665
TCGA-G3-A3CK-01,,TCGA Tumor,LIHC,1.290180829,3.912126232
TCGA-BQ-7056-01,,TCGA Tumor,KIRP,5.605526891,-5.189818453
TCGA-BR-6801-01,,TCGA Tumor,STAD,-5.128474269,-3.174093794
TCGA-F9-A4JJ-01,,TCGA Tumor,KIRP,5.714149919,-5.24946792
TCGA-IQ-A61I-01,,TCGA Tumor,HNSC,-5.999140296,1.879164625
TCGA-29-1694-01,,TCGA Tumor,OV,1.938014116,8.314776827
TCGA-D3-A8GE-06,,TCGA Tumor,SKCM,0.236781683,0.915025343
TCGA-5P-A9JZ-01,,TCGA Tumor,KIRP,-0.889010224,7.751180578
TCGA-HD-A6I0-01,,TCGA Tumor,HNSC,-6.23180202,0.148479481
TARGET-10-PARGFV-04,,TCGA Tumor,Target-ALL,-8.211005721,-8.171214651
TCGA-A8-A07W-01,,TCGA Tumor,BRCA,5.665996518,-1.765823077
TCGA-FA-A82F-01,,TCGA Tumor,DLBC,-8.566094909,6.925027777
TCGA-EM-A3AR-01,,TCGA Tumor,THCA,11.62206027,0.547213246
TCGA-A4-A5Y0-01,,TCGA Tumor,KIRP,5.567761388,-5.190977644
TCGA-57-1582-01,,TCGA Tumor,OV,1.540734496,7.831619192
TCGA-HB-A3L4-01,,TCGA Tumor,SARC,1.960494604,1.555155684
TCGA-3A-A9IB-01,,TCGA Tumor,PAAD,-2.747401271,-2.487144302
TCGA-G7-6792-01,,TCGA Tumor,KIRP,-0.905036721,7.691329409
TCGA-AB-2822-03,,TCGA Tumor,LAML,-4.996690783,-11.51432283
TCGA-31-1946-01,,TCGA Tumor,OV,1.680875864,7.888015677
TCGA-02-0055-01,,TCGA Tumor,GBM,1.366987136,-9.013122152
TCGA-BD-A2L6-01,,TCGA Tumor,LIHC,0.864160296,4.141601015
TCGA-B2-5639-01,,TCGA Tumor,KIRC,6.042731729,-6.473645281
TCGA-GK-A6C7-01,,TCGA Tumor,KIRC,6.343346086,-6.665979933
TCGA-30-1857-01,,TCGA Tumor,OV,2.124821511,8.248613764
TCGA-V1-A9ZK-01,,TCGA Tumor,PRAD,8.941412416,8.221262385
TCGA-AB-2818-03,,TCGA Tumor,LAML,-3.873921904,-12.34167631
TCGA-ZG-A9LY-01,,TCGA Tumor,PRAD,8.634235826,8.253829409
TCGA-DJ-A1QI-01,,TCGA Tumor,THCA,11.47470233,-0.04626489
TCGA-B5-A1MW-01,,TCGA Tumor,UCEC,1.375700321,6.511910845
TCGA-DJ-A2PQ-01,,TCGA Tumor,THCA,11.53402659,0.011289958
TCGA-OR-A5KO-01,,TCGA Tumor,ACC,-3.46360806,-8.612200331
TCGA-A8-A08O-01,,TCGA Tumor,BRCA,4.320483175,-1.814429354
TCGA-13-0720-01,,TCGA Tumor,OV,1.92934319,8.099191118
TCGA-EM-A22M-01,,TCGA Tumor,THCA,10.95671889,-0.430864971
TARGET-30-PATYIL-01,,TCGA Tumor,NB,2.667434898,12.91937297
TARGET-30-PATYIL-02,,TCGA Tumor,NB,2.630912986,12.87269061
TCGA-J4-A67K-01,,TCGA Tumor,PRAD,7.592554059,9.330286432
TCGA-A3-3359-01,,TCGA Tumor,KIRC,6.331213918,-6.86448295
TCGA-HT-7482-01,,TCGA Tumor,LGG,2.219117608,-10.73595674
TCGA-CV-6962-01,,TCGA Tumor,HNSC,-5.633293185,2.470788647
TCGA-EA-A50E-01,,TCGA Tumor,CESC,-6.345267806,1.162686039
TCGA-21-1082-01,,TCGA Tumor,LUSC,-6.082568679,2.34025519
TARGET-10-PANRYM-09,,TCGA Tumor,Target-ALL,-8.338665519,-8.301643919
TARGET-10-PAPKNC-09,,TCGA Tumor,Target-ALL,-8.384862456,-8.333133291
TCGA-35-4123-01,,TCGA Tumor,LUAD,0.053247091,-2.526261638
TCGA-A2-A4RY-01,,TCGA Tumor,BRCA,4.567895856,-1.575683903
TARGET-20-PASCGR-04,,TCGA Tumor,LAML,-5.502408538,-12.42015417
TCGA-ER-A2NF-01,,TCGA Tumor,SKCM,6.709308114,4.422316958
TCGA-UF-A7JT-01,,TCGA Tumor,HNSC,-6.799428973,0.641697634
TCGA-DX-AB3A-01,,TCGA Tumor,SARC,1.260843899,1.709500481
TCGA-AL-3466-01,,TCGA Tumor,KIRP,5.569717374,-5.184605669
TCGA-R5-A805-01,,TCGA Tumor,STAD,-3.819337401,-3.69033749
TCGA-A2-A0SY-01,,TCGA Tumor,BRCA,4.001355138,-1.915129613
TCGA-AC-A8OP-01,,TCGA Tumor,BRCA,5.273980584,-1.582475256
TCGA-AB-2820-03,,TCGA Tumor,LAML,-5.004939589,-11.53318269
TCGA-98-A53J-01,,TCGA Tumor,LUSC,-6.112616572,2.3217973
TCGA-DU-A7T8-01,,TCGA Tumor,LGG,2.367429223,-10.92228372
TCGA-EM-A4FF-01,,TCGA Tumor,THCA,10.98653075,-0.53754742
TCGA-CJ-4878-01,,TCGA Tumor,KIRC,6.371153798,-6.605991434
TCGA-CH-5792-01,,TCGA Tumor,PRAD,8.94609591,8.256305147
TCGA-DD-A11D-01,,TCGA Tumor,LIHC,0.961357084,4.218045164
TCGA-DU-5870-02,,TCGA Tumor,LGG,3.121670928,-10.50274522
TCGA-AO-A0J6-01,,TCGA Tumor,BRCA,0.981281307,-1.551262807
TCGA-DU-5870-01,,TCGA Tumor,LGG,3.194003787,-10.54555375
TCGA-24-2033-01,,TCGA Tumor,OV,1.35920867,7.902676989
TCGA-D5-5539-01,,TCGA Tumor,COAD,-6.077447924,-3.680591654
