,case_id3,cell_type,Diagnosis_TCGA_HCMI_Code,umap1,umap2
HCM-BROD-0001-C18-85M,HCM-BROD-0001-C18,HCMI Model,READ,-5.845162425,-2.734559606
HCM-BROD-0002-C71-85A,HCM-BROD-0002-C71,HCMI Model,GBM,1.065666166,0.631373693
HCM-BROD-0003-C71-85B,HCM-BROD-0003-C71,HCMI Model,GBM,1.125340965,0.633399714
HCM-BROD-0004-C64-85R,HCM-BROD-0004-C64,HCMI Model,WT,1.281006005,7.750379015
HCM-BROD-0007-C49-85B,HCM-BROD-0007-C49,HCMI Model,SARC,-3.964494738,6.74645846
HCM-BROD-0008-C25-85A,HCM-BROD-0008-C25,HCMI Model,PAAD,-2.926064524,-3.061590504
HCM-BROD-0009-C25-85A,HCM-BROD-0009-C25,HCMI Model,PAAD,-2.760902915,-2.765075754
HCM-BROD-0010-C25-85A,HCM-BROD-0010-C25,HCMI Model,PAAD,-2.954799447,-3.077097248
HCM-BROD-0011-C71-85A,HCM-BROD-0011-C71,HCMI Model,GBM,1.658112612,-9.208097051
HCM-BROD-0012-C71-85A,HCM-BROD-0012-C71,HCMI Model,GBM,1.433905091,-9.047007154
HCM-BROD-0013-C71-85A,HCM-BROD-0013-C71,HCMI Model,GBM,1.3497664,-9.029159139
HCM-BROD-0014-C71-85B,HCM-BROD-0014-C71,HCMI Model,GBM,1.471756664,-9.175643514
HCM-BROD-0015-C25-85C,HCM-BROD-0015-C25,HCMI Model,PAAD,-6.192582164,1.083992053
HCM-BROD-0016-C25-85A,HCM-BROD-0016-C25,HCMI Model,PAAD,-2.930218253,-3.003421615
HCM-BROD-0019-C25-85A,HCM-BROD-0019-C25,HCMI Model,PAAD,-2.833891425,-2.955688309
HCM-BROD-0020-C15-85A,HCM-BROD-0020-C15,HCMI Model,ESCA,-2.805290494,-2.792963337
HCM-BROD-0025-C16-85A,HCM-BROD-0025-C16,HCMI Model,STAD,-2.307732615,-2.464181017
HCM-BROD-0027-C34-85A,HCM-BROD-0027-C34,HCMI Model,LUAD,-1.42488018,-2.051594805
HCM-BROD-0028-C71-85A,HCM-BROD-0028-C71,HCMI Model,GBM,1.606165138,-9.233069013
HCM-BROD-0029-C71-85C,HCM-BROD-0029-C71,HCMI Model,GBM,1.883162346,-9.379021238
HCM-BROD-0035-C49-85M,HCM-BROD-0035-C49,HCMI Model,SARC,0.060159024,0.322141547
HCM-BROD-0036-C41-85A,HCM-BROD-0036-C41,HCMI Model,SARC,-0.342361781,0.598336745
HCM-BROD-0041-C64-85A,HCM-BROD-0041-C64,HCMI Model,WT,-3.994261775,6.803311278
HCM-BROD-0043-C16-85B,HCM-BROD-0043-C16,HCMI Model,STAD,-0.557556066,-1.186949443
HCM-BROD-0044-C15-85B,HCM-BROD-0044-C15,HCMI Model,ESCA,-2.796175513,-2.85522468
HCM-BROD-0045-C16-85B,HCM-BROD-0045-C16,HCMI Model,STAD,-2.852396521,-2.968295883
HCM-BROD-0046-C71-85A,HCM-BROD-0046-C71,HCMI Model,GBM,1.208254185,0.678792585
HCM-BROD-0047-C71-85B,HCM-BROD-0047-C71,HCMI Model,GBM,1.159068253,0.685813476
HCM-BROD-0048-C71-85A,HCM-BROD-0048-C71,HCMI Model,GBM,1.477210369,-9.227389883
HCM-BROD-0050-C49-85A,HCM-BROD-0050-C49,HCMI Model,SARC,0.928917852,1.070498396
HCM-BROD-0051-C64-85B,HCM-BROD-0051-C64,HCMI Model,WT,1.663844075,1.218802978
HCM-BROD-0052-C49-85A,HCM-BROD-0052-C49,HCMI Model,SARC,0.988788631,0.919536282
HCM-BROD-0053-C49-85M,HCM-BROD-0053-C49,HCMI Model,SARC,-0.019945267,0.363700379
HCM-BROD-0055-C64-85A,HCM-BROD-0055-C64,HCMI Model,WT,1.117629793,0.632189919
HCM-BROD-0095-C15-85A,HCM-BROD-0095-C15,HCMI Model,ESCA,-1.915637765,-2.177306961
HCM-BROD-0096-C15-85C,HCM-BROD-0096-C15,HCMI Model,ESCA,-3.061634812,-2.92648394
HCM-BROD-0097-C15-85B,HCM-BROD-0097-C15,HCMI Model,ESCA,-2.39335135,-2.622259926
HCM-BROD-0098-C15-85A,HCM-BROD-0098-C15,HCMI Model,ESCA,-2.633745227,-2.942706894
HCM-BROD-0099-C15-85B,HCM-BROD-0099-C15,HCMI Model,ESCA,-2.947830949,-3.180739473
HCM-BROD-0100-C15-85A,HCM-BROD-0100-C15,HCMI Model,ESCA,-2.469489369,-2.644169639
HCM-BROD-0101-C15-85A,HCM-BROD-0101-C15,HCMI Model,ESCA,-0.148554179,-2.148513626
HCM-BROD-0102-C71-85B,HCM-BROD-0102-C71,HCMI Model,GBM,1.634698715,-9.201223921
HCM-BROD-0103-C71-85B,HCM-BROD-0103-C71,HCMI Model,GBM,1.492369261,-9.129874777
HCM-BROD-0104-C71-85B,HCM-BROD-0104-C71,HCMI Model,GBM,1.648396101,-9.213830541
HCM-BROD-0106-C71-85A,HCM-BROD-0106-C71,HCMI Model,GBM,1.458565679,-9.134575437
HCM-BROD-0108-C25-85E,HCM-BROD-0108-C25,HCMI Model,PAAD,-2.233083758,-3.082950186
HCM-BROD-0110-C25-85A,HCM-BROD-0110-C25,HCMI Model,PAAD,-2.827384743,-3.120964836
HCM-BROD-0111-C25-85A,HCM-BROD-0111-C25,HCMI Model,PAAD,-2.877589497,-2.937142919
HCM-BROD-0112-C25-85B,HCM-BROD-0112-C25,HCMI Model,PAAD,-2.869040522,-3.089312862
HCM-BROD-0115-C16-85A,HCM-BROD-0115-C16,HCMI Model,STAD,-1.992098603,-2.3796602
HCM-BROD-0116-C16-85B,HCM-BROD-0116-C16,HCMI Model,STAD,-2.918180499,-3.115393471
HCM-BROD-0118-C16-85A,HCM-BROD-0118-C16,HCMI Model,STAD,-6.348652873,1.579376627
HCM-BROD-0120-C15-85A,HCM-BROD-0120-C15,HCMI Model,ESCA,-2.404305968,-2.668018888
HCM-BROD-0121-C41-85B,HCM-BROD-0121-C41,HCMI Model,SARC,-0.353337858,0.596105207
HCM-BROD-0122-C25-85B,HCM-BROD-0122-C25,HCMI Model,PAAD,-0.778472338,-1.607733678
HCM-BROD-0124-C25-85A,HCM-BROD-0124-C25,HCMI Model,PAAD,-2.640461478,-2.683472942
HCM-BROD-0125-C25-85B,HCM-BROD-0125-C25,HCMI Model,PAAD,-2.847655806,-3.048599075
HCM-BROD-0129-C25-85C,HCM-BROD-0129-C25,HCMI Model,PAAD,-2.962786231,-3.081051182
HCM-BROD-0130-C25-85M,HCM-BROD-0130-C25,HCMI Model,PAAD,-3.245006833,-2.548012565
HCM-BROD-0131-C25-85M,HCM-BROD-0131-C25,HCMI Model,PAAD,0.957485643,-1.353134941
HCM-BROD-0132-C25-85A,HCM-BROD-0132-C25,HCMI Model,PAAD,-2.390088591,-2.559021305
HCM-BROD-0134-C25-85A,HCM-BROD-0134-C25,HCMI Model,PAAD,-2.676553521,-2.700982641
HCM-BROD-0138-C25-85B,HCM-BROD-0138-C25,HCMI Model,PAAD,-2.873941455,-3.013540577
HCM-BROD-0140-C16-85A,HCM-BROD-0140-C16,HCMI Model,STAD,-0.328886244,-2.384464096
HCM-BROD-0194-C15-85B,HCM-BROD-0194-C15,HCMI Model,ESCA,0.728476163,-1.66784222
HCM-BROD-0195-C71-85A,HCM-BROD-0195-C71,HCMI Model,GBM,1.375559356,-9.07103021
HCM-BROD-0196-C71-85A,HCM-BROD-0196-C71,HCMI Model,GBM,1.544663396,-9.153131079
HCM-BROD-0198-C71-85B,HCM-BROD-0198-C71,HCMI Model,GBM,1.451667276,-9.118857931
HCM-BROD-0199-C71-85A,HCM-BROD-0199-C71,HCMI Model,GBM,1.6467832,-9.256256651
HCM-BROD-0199-C71-85S,HCM-BROD-0199-C71,HCMI Model,GBM,1.661165443,-9.197985243
HCM-BROD-0200-C71-85B,HCM-BROD-0200-C71,HCMI Model,GBM,1.439310041,-9.207431387
HCM-BROD-0204-C25-85A,HCM-BROD-0204-C25,HCMI Model,PAAD,-2.875330958,-3.034465622
HCM-BROD-0206-C25-85A,HCM-BROD-0206-C25,HCMI Model,PAAD,-2.778909716,-2.856063675
HCM-BROD-0208-C16-85B,HCM-BROD-0208-C16,HCMI Model,STAD,-2.929893765,-3.060335707
HCM-BROD-0209-C71-85A,HCM-BROD-0209-C71,HCMI Model,GBM,1.514601674,-9.136342596
HCM-BROD-0210-C71-85R,HCM-BROD-0210-C71,HCMI Model,GBM,1.301161018,-9.046344351
HCM-BROD-0213-C71-85A,HCM-BROD-0213-C71,HCMI Model,GBM,1.433108416,-9.156606268
HCM-BROD-0214-C71-85A,HCM-BROD-0214-C71,HCMI Model,GBM,1.382912781,-9.134652685
HCM-BROD-0219-C15-85B,HCM-BROD-0219-C15,HCMI Model,ESCA,0.807217386,-1.425733756
HCM-BROD-0221-C43-85N,HCM-BROD-0221-C43,HCMI Model,SKCM,1.958696451,1.225669552
HCM-BROD-0223-C43-85M,HCM-BROD-0223-C43,HCMI Model,SKCM,6.015509095,3.533557106
HCM-BROD-0225-C43-85N,HCM-BROD-0225-C43,HCMI Model,SKCM,1.920448866,1.185409952
HCM-BROD-0226-C43-85M,HCM-BROD-0226-C43,HCMI Model,SKCM,6.041942563,3.610664059
HCM-BROD-0227-C43-85M,HCM-BROD-0227-C43,HCMI Model,SKCM,1.926132765,1.351995279
HCM-BROD-0229-C25-85A,HCM-BROD-0229-C25,HCMI Model,PAAD,1.025779095,-1.397845577
HCM-BROD-0230-C25-85D,HCM-BROD-0230-C25,HCMI Model,PAAD,1.775367704,8.440802981
HCM-BROD-0231-C25-85M,HCM-BROD-0231-C25,HCMI Model,PAAD,-2.90672234,-3.076919626
HCM-BROD-0231-C25-85N,HCM-BROD-0231-C25,HCMI Model,PAAD,-2.880856309,-3.032505583
HCM-BROD-0232-C25-85B,HCM-BROD-0232-C25,HCMI Model,PAAD,-2.887663159,-2.986820291
HCM-BROD-0234-C49-85M,HCM-BROD-0234-C49,HCMI Model,SARC,1.130593386,1.132501055
HCM-BROD-0235-C16-85B,HCM-BROD-0235-C16,HCMI Model,STAD,-2.860907111,-3.015032362
HCM-BROD-0236-C34-85A,HCM-BROD-0236-C34,HCMI Model,LUAD,0.50979903,0.429976661
HCM-BROD-0253-C15-85B,HCM-BROD-0253-C15,HCMI Model,ESCA,-0.000880543,0.382896323
HCM-BROD-0254-C49-85M,HCM-BROD-0254-C49,HCMI Model,SARC,-3.955510649,6.730156351
HCM-BROD-0254-C49-85N,HCM-BROD-0254-C49,HCMI Model,SARC,-3.947793517,6.777738024
HCM-BROD-0328-C15-85A,HCM-BROD-0328-C15,HCMI Model,ESCA,-4.845767531,-1.855200242
HCM-BROD-0332-C43-85M,HCM-BROD-0332-C43,HCMI Model,SKCM,1.408247199,1.617281963
HCM-BROD-0334-C43-85M,HCM-BROD-0334-C43,HCMI Model,SKCM,5.699121919,3.54344647
HCM-BROD-0335-C43-85M,HCM-BROD-0335-C43,HCMI Model,SKCM,4.984438386,3.410118748
HCM-BROD-0339-C43-85M,HCM-BROD-0339-C43,HCMI Model,SKCM,5.270781961,3.480543066
HCM-BROD-0344-C25-85A,HCM-BROD-0344-C25,HCMI Model,PAAD,-3.83103374,-3.69805653
HCM-BROD-0348-C25-85M,HCM-BROD-0348-C25,HCMI Model,PAAD,-2.966485534,-3.03846557
HCM-BROD-0351-C49-85M,HCM-BROD-0351-C49,HCMI Model,SARC,1.905678477,1.165742565
HCM-BROD-0353-C64-85A,HCM-BROD-0353-C64,HCMI Model,KIRC,-0.654252324,7.516739775
HCM-BROD-0356-C16-85A,HCM-BROD-0356-C16,HCMI Model,STAD,0.510293376,0.253833864
HCM-BROD-0408-C71-85R,HCM-BROD-0408-C71,HCMI Model,GBM,0.98109534,0.730324973
HCM-BROD-0411-C25-85M,HCM-BROD-0411-C25,HCMI Model,PAAD,-2.583276782,-3.105656456
HCM-BROD-0413-C25-85N,HCM-BROD-0413-C25,HCMI Model,PAAD,-2.742098365,-2.862067293
HCM-BROD-0414-C25-85M,HCM-BROD-0414-C25,HCMI Model,PAAD,-2.859096083,-2.963550161
HCM-BROD-0415-C71-85R,HCM-BROD-0415-C71,HCMI Model,GBM,1.810741511,-9.285921644
HCM-BROD-0416-C71-85B,HCM-BROD-0416-C71,HCMI Model,GBM,1.771496144,-9.241158079
HCM-BROD-0417-C71-85A,HCM-BROD-0417-C71,HCMI Model,GBM,1.397218671,-9.000300955
HCM-BROD-0418-C71-85B,HCM-BROD-0418-C71,HCMI Model,GBM,1.572941389,-9.181432318
HCM-BROD-0419-C71-85A,HCM-BROD-0419-C71,HCMI Model,GBM,1.387249198,-9.120191168
HCM-BROD-0420-C71-85R,HCM-BROD-0420-C71,HCMI Model,GBM,1.37657794,-9.191726278
HCM-BROD-0421-C71-85A,HCM-BROD-0421-C71,HCMI Model,GBM,1.640265312,-9.21669824
HCM-BROD-0423-C71-85D,HCM-BROD-0423-C71,HCMI Model,GBM,1.515939799,-9.160113882
HCM-BROD-0444-C43-85M,HCM-BROD-0444-C43,HCMI Model,SKCM,6.719063249,4.432814528
HCM-BROD-0445-C15-85M,HCM-BROD-0445-C15,HCMI Model,ESCA,-5.533332381,-2.522216152
HCM-BROD-0448-C15-85M,HCM-BROD-0448-C15,HCMI Model,ESCA,-4.876396689,-1.890457224
HCM-BROD-0449-C34-85M,HCM-BROD-0449-C34,HCMI Model,LUAD,-5.735526118,2.322211434
HCM-BROD-0450-C15-85M,HCM-BROD-0450-C15,HCMI Model,ESCA,-4.875694308,-1.887228798
HCM-BROD-0451-C15-85C,HCM-BROD-0451-C15,HCMI Model,ESCA,-3.058484111,-2.905264925
HCM-BROD-0453-C16-85A,HCM-BROD-0453-C16,HCMI Model,STAD,-2.876039538,-3.07366259
HCM-BROD-0455-C71-85A,HCM-BROD-0455-C71,HCMI Model,GBM,1.364336517,-8.98900659
HCM-BROD-0457-C71-85A,HCM-BROD-0457-C71,HCMI Model,GBM,1.716969218,-9.224552702
HCM-BROD-0458-C15-85N,HCM-BROD-0458-C15,HCMI Model,ESCA,-4.426520381,-3.443771671
HCM-BROD-0472-C34-85M,HCM-BROD-0472-C34,HCMI Model,SCLC,-1.233028087,-2.202659439
HCM-BROD-0475-C16-85M,HCM-BROD-0475-C16,HCMI Model,STAD,-2.706676516,-2.751257728
HCM-BROD-0477-C16-85M,HCM-BROD-0477-C16,HCMI Model,STAD,-3.202954325,-3.141950916
HCM-BROD-0478-C16-85M,HCM-BROD-0478-C16,HCMI Model,STAD,-5.874148879,-2.762214969
HCM-BROD-0481-C43-85M,HCM-BROD-0481-C43,HCMI Model,SKCM,0.985439446,0.638788153
HCM-BROD-0482-C34-85M,HCM-BROD-0482-C34,HCMI Model,LUSC,2.601680722,12.85376303
HCM-BROD-0483-C16-85M,HCM-BROD-0483-C16,HCMI Model,STAD,-2.867639575,-3.09425361
HCM-BROD-0483-C16-85N,HCM-BROD-0483-C16,HCMI Model,STAD,-2.919402871,-3.1131397
HCM-BROD-0485-C15-85M,HCM-BROD-0485-C15,HCMI Model,ESCA,-2.92475513,-3.039117884
HCM-BROD-0488-C16-85M,HCM-BROD-0488-C16,HCMI Model,STAD,-2.937558207,-3.037791084
HCM-BROD-0489-C15-85M,HCM-BROD-0489-C15,HCMI Model,ESCA,11.50323531,0.901749362
HCM-BROD-0555-C15-85M,HCM-BROD-0555-C15,HCMI Model,ESCA,-3.161362204,-2.559107612
HCM-BROD-0557-C43-85M,HCM-BROD-0557-C43,HCMI Model,SKCM,0.712459471,0.712321747
HCM-BROD-0559-C16-85M,HCM-BROD-0559-C16,HCMI Model,STAD,-2.86974338,-3.023644041
HCM-BROD-0561-C43-85M,HCM-BROD-0561-C43,HCMI Model,SKCM,1.115241792,1.185924817
HCM-BROD-0564-C71-85R,HCM-BROD-0564-C71,HCMI Model,GBM,1.5465624,-9.222704481
HCM-BROD-0568-C15-85M,HCM-BROD-0568-C15,HCMI Model,ESCA,-2.815937791,-2.830066513
HCM-BROD-0569-C43-85M,HCM-BROD-0569-C43,HCMI Model,SKCM,4.973812547,3.390620638
HCM-BROD-0574-C71-85B,HCM-BROD-0574-C71,HCMI Model,GBM,1.270377782,-9.235081266
HCM-BROD-0577-C15-85M,HCM-BROD-0577-C15,HCMI Model,ESCA,-5.597898516,-2.689632725
HCM-BROD-0578-C15-85A,HCM-BROD-0578-C15,HCMI Model,ESCA,-2.615052972,-2.817830156
HCM-BROD-0578-C15-85M,HCM-BROD-0578-C15,HCMI Model,ESCA,-2.880044255,-3.113546919
HCM-BROD-0579-C16-85M,HCM-BROD-0579-C16,HCMI Model,STAD,-5.356533561,-2.746224712
HCM-BROD-0594-C43-85M,HCM-BROD-0594-C43,HCMI Model,SKCM,5.460133996,3.467656304
HCM-BROD-0595-C43-85M,HCM-BROD-0595-C43,HCMI Model,SKCM,5.146419492,3.453666378
HCM-BROD-0596-C43-85O,HCM-BROD-0596-C43,HCMI Model,SKCM,4.907613721,3.342194964
HCM-BROD-0597-C64-85A,HCM-BROD-0597-C64,HCMI Model,WT,1.961142745,1.175377299
HCM-BROD-0611-C71-85R,HCM-BROD-0611-C71,HCMI Model,GBM,1.345667925,-9.044302534
HCM-BROD-0613-C71-85A,HCM-BROD-0613-C71,HCMI Model,GBM,1.077814009,0.664027442
HCM-BROD-0614-C71-85B,HCM-BROD-0614-C71,HCMI Model,GBM,1.444340315,-9.034431051
HCM-BROD-0615-C16-85M,HCM-BROD-0615-C16,HCMI Model,STAD,-2.951233182,-3.133877348
HCM-BROD-0643-C43-85N,HCM-BROD-0643-C43,HCMI Model,SKCM,5.688778844,3.483073164
HCM-BROD-0644-C25-85M,HCM-BROD-0644-C25,HCMI Model,PAAD,-0.757320914,-1.914299439
HCM-BROD-0648-C71-85R,HCM-BROD-0648-C71,HCMI Model,GBM,1.397044029,-9.096229147
HCM-BROD-0649-C49-85B,HCM-BROD-0649-C49,HCMI Model,SARC,1.894527998,1.183509279
HCM-BROD-0650-C56-85N,HCM-BROD-0650-C56,HCMI Model,OV,1.73981401,8.114166666
HCM-BROD-0676-C71-85R,HCM-BROD-0676-C71,HCMI Model,GBM,1.44334158,-9.243897985
HCM-BROD-0677-C43-85M,HCM-BROD-0677-C43,HCMI Model,SKCM,5.12232348,3.311647822
HCM-BROD-0678-C71-85A,HCM-BROD-0678-C71,HCMI Model,MB,2.760884252,13.01947348
HCM-BROD-0679-C43-85M,HCM-BROD-0679-C43,HCMI Model,SKCM,1.061441627,1.12410741
HCM-BROD-0681-C71-85R,HCM-BROD-0681-C71,HCMI Model,GBM,1.454801049,-9.193768095
HCM-BROD-0682-C64-85A,HCM-BROD-0682-C64,HCMI Model,KIRC,6.112251725,-5.344645571
HCM-BROD-0683-C43-85A,HCM-BROD-0683-C43,HCMI Model,SKCM,5.258532968,3.482566286
HCM-BROD-0685-C71-85A,HCM-BROD-0685-C71,HCMI Model,GBM,1.379653003,-9.031662535
HCM-BROD-0689-C71-85R,HCM-BROD-0689-C71,HCMI Model,GBM,1.025578287,0.782030274
HCM-BROD-0690-C43-85A,HCM-BROD-0690-C43,HCMI Model,SKCM,4.995285478,3.416921307
HCM-BROD-0693-C71-85A,HCM-BROD-0693-C71,HCMI Model,GBM,1.5329034,-9.18238027
HCM-BROD-0695-C71-85R,HCM-BROD-0695-C71,HCMI Model,GBM,1.395587113,-9.106960844
HCM-BROD-0702-C43-85M,HCM-BROD-0702-C43,HCMI Model,SKCM,0.847772655,0.716849793
HCM-BROD-0703-C16-85N,HCM-BROD-0703-C16,HCMI Model,STAD,-5.276139293,1.291413118
HCM-BROD-0709-C64-85B,HCM-BROD-0709-C64,HCMI Model,KIRC,-0.01991621,3.265407492
HCM-BROD-0710-C43-85M,HCM-BROD-0710-C43,HCMI Model,SKCM,5.220872846,3.496390749
HCM-BROD-0715-C43-85B,HCM-BROD-0715-C43,HCMI Model,SKCM,5.152144876,3.448948551
HCM-BROD-0716-C43-85N,HCM-BROD-0716-C43,HCMI Model,SKCM,1.161686685,0.778678347
HCM-BROD-0721-C43-85M,HCM-BROD-0721-C43,HCMI Model,SKCM,0.941646543,0.669665862
HCM-BROD-0724-C43-85M,HCM-BROD-0724-C43,HCMI Model,SKCM,6.536156621,4.253525187
HCM-BROD-0745-C43-85M,HCM-BROD-0745-C43,HCMI Model,SKCM,0.812401798,0.93382125
HCM-BROD-0755-C43-85M,HCM-BROD-0755-C43,HCMI Model,SKCM,4.925648656,3.354482103
HCM-BROD-0758-C43-85N,HCM-BROD-0758-C43,HCMI Model,SKCM,5.437980619,3.663764406
HCM-BROD-0759-C15-85A,HCM-BROD-0759-C15,HCMI Model,ESCA,-2.938535008,-3.078332495
HCM-BROD-0761-C71-85B,HCM-BROD-0761-C71,HCMI Model,GBM,1.438706722,-9.170317243
HCM-BROD-0762-C49-85B,HCM-BROD-0762-C49,HCMI Model,DEST,1.823190417,1.147148658
HCM-BROD-0781-C71-85A,HCM-BROD-0781-C71,HCMI Model,GBM,1.329499927,0.938262094
HCM-BROD-0782-C71-85B,HCM-BROD-0782-C71,HCMI Model,GBM,1.372813609,-9.193066191
HCM-BROD-0783-C71-85R,HCM-BROD-0783-C71,HCMI Model,GBM,1.468997088,-9.115515303
HCM-BROD-0791-C43-85O,HCM-BROD-0791-C43,HCMI Model,SKCM,1.127865937,0.73773532
HCM-BROD-0793-C15-85M,HCM-BROD-0793-C15,HCMI Model,ESCA,-2.882616792,-3.080656599
HCM-BROD-0794-C16-85M,HCM-BROD-0794-C16,HCMI Model,STAD,-5.26802114,-3.070889067
HCM-BROD-0796-C71-85A,HCM-BROD-0796-C71,HCMI Model,GBM,1.352793124,-9.206940245
HCM-BROD-0829-C71-85A,HCM-BROD-0829-C71,HCMI Model,GBM,1.311858978,-9.025604795
HCM-BROD-0830-C71-85R,HCM-BROD-0830-C71,HCMI Model,GBM,1.413333264,-9.093872618
HCM-BROD-0831-C71-85B,HCM-BROD-0831-C71,HCMI Model,GBM,1.355968204,-9.149621557
HCM-BROD-0834-C43-85M,HCM-BROD-0834-C43,HCMI Model,SKCM,6.689013925,4.402160097
HCM-BROD-0871-C49-85M,HCM-BROD-0871-C49,HCMI Model,SARC,1.347099867,1.651121188
HCM-BROD-0874-C43-85N,HCM-BROD-0874-C43,HCMI Model,SKCM,1.259376195,1.081957866
HCM-BROD-0922-C71-85A,HCM-BROD-0922-C71,HCMI Model,GBM,1.521376815,-9.185173582
HCM-BROD-0923-C64-85B,HCM-BROD-0923-C64,HCMI Model,WT,1.404450622,7.638617445
HCM-BROD-0924-C34-85A,HCM-BROD-0924-C34,HCMI Model,SCLC,-5.356515918,2.308853317
HCM-BROD-0925-C71-85A,HCM-BROD-0925-C71,HCMI Model,GBM,1.942451563,-9.38712747
HCM-BROD-0926-C16-85B,HCM-BROD-0926-C16,HCMI Model,STAD,-2.985741887,-3.080322813
HCM-BROD-0926-C16-85N,HCM-BROD-0926-C16,HCMI Model,STAD,-2.77512649,-2.873630117
HCM-BROD-0953-C34-85B,HCM-BROD-0953-C34,HCMI Model,LUAD,-1.472213421,-0.847806465
HCM-BROD-0954-C34-85A,HCM-BROD-0954-C34,HCMI Model,LUAD,-1.083302769,-1.984789442
HCM-BROD-0955-C15-85B,HCM-BROD-0955-C15,HCMI Model,ESCA,-2.721760068,-2.912837337
HCM-BROD-0957-C34-85A,HCM-BROD-0957-C34,HCMI Model,LUAD,-0.046774808,-2.889943193
HCM-BROD-0959-C18-85B,HCM-BROD-0959-C18,HCMI Model,COAD,-4.407907996,-3.432024072
HCM-BROD-0960-C16-85A,HCM-BROD-0960-C16,HCMI Model,STAD,-2.858275685,-3.062813114
HCM-BROD-0962-C16-85A,HCM-BROD-0962-C16,HCMI Model,STAD,-2.770046029,-2.897450994
HCM-BROD-1098-C91-85B,HCM-BROD-1098-C91,HCMI Model,TPLL,-9.803379569,6.389326502
HCM-BROD-1099-C84-85B,HCM-BROD-1099-C84,HCMI Model,CTCL,-9.815372977,6.397458006
HCM-BROD-1100-C84-85B,HCM-BROD-1100-C84,HCMI Model,CTCL,-9.81525186,6.394395281
HCM-BROD-1102-C85-85A,HCM-BROD-1102-C85,HCMI Model,NHL,-8.776950393,7.168636252
HCM-BROD-1103-C86-85A,HCM-BROD-1103-C86,HCMI Model,CTCL,-9.761583838,6.427117277
HCM-BROD-1104-C85-85A,HCM-BROD-1104-C85,HCMI Model,NHL,-8.784787688,7.181554724
HCM-BROD-1105-C73-85A,HCM-BROD-1105-C73,HCMI Model,THCA,-0.341167066,-3.049062084
HCM-BROD-1117-C56-85A,HCM-BROD-1117-C56,HCMI Model,OV,1.394027021,7.782810618
HCM-BROD-1119-C43-85B,HCM-BROD-1119-C43,HCMI Model,SKCM,6.646357026,4.370049883
HCM-BROD-1121-C71-85A,HCM-BROD-1121-C71,HCMI Model,GBM,1.346913543,-9.240225386
HCM-BROD-1122-C49-85B,HCM-BROD-1122-C49,HCMI Model,SARC,1.78251585,1.112867881
HCM-BROD-1123-C71-85A,HCM-BROD-1123-C71,HCMI Model,GBM,1.307381418,-9.09242494
HCM-BROD-1124-C16-85B,HCM-BROD-1124-C16,HCMI Model,STAD,-2.709089789,-2.923745941
HCM-BROD-1127-C15-85B,HCM-BROD-1127-C15,HCMI Model,ESCA,-2.794426236,-2.957657169
HCM-BROD-1129-C56-85B,HCM-BROD-1129-C56,HCMI Model,OV,1.51551148,8.034781386
HCM-BROD-1130-C06-85B,HCM-BROD-1130-C06,HCMI Model,HNSC,-0.133577142,-3.209764789
HCM-BROD-1131-C06-85B,HCM-BROD-1131-C06,HCMI Model,HNSC,-6.474812541,0.571613659
HCM-BROD-1181-C73-85B,HCM-BROD-1181-C73,HCMI Model,THCA,0.76516464,0.725268711
HCM-BROD-1186-C64-85B,HCM-BROD-1186-C64,HCMI Model,KIRC,6.212787118,-5.687773298
HCM-CSHL-0056-C18-85B,HCM-CSHL-0056-C18,HCMI Model,COAD,-4.64235929,-3.406329464
HCM-CSHL-0057-C18-85B,HCM-CSHL-0057-C18,HCMI Model,COAD,-5.952426467,-2.717846464
HCM-CSHL-0059-C25-85A,HCM-CSHL-0059-C25,HCMI Model,PAAD,-2.828329835,-2.973375868
HCM-CSHL-0060-C18-85A,HCM-CSHL-0060-C18,HCMI Model,COAD,-5.906662974,-2.751579594
HCM-CSHL-0061-C18-85A,HCM-CSHL-0061-C18,HCMI Model,COAD,-5.916902098,-2.653657984
HCM-CSHL-0062-C18-85A,HCM-CSHL-0062-C18,HCMI Model,READ,-5.912541423,-2.770092558
HCM-CSHL-0063-C18-85A,HCM-CSHL-0063-C18,HCMI Model,COAD,-5.867475543,-2.662852596
HCM-CSHL-0064-C18-85A,HCM-CSHL-0064-C18,HCMI Model,COAD,-5.97584394,-2.681966614
HCM-CSHL-0065-C20-85A,HCM-CSHL-0065-C20,HCMI Model,COAD,-5.926171336,-2.764755796
HCM-CSHL-0073-C25-85B,HCM-CSHL-0073-C25,HCMI Model,PAAD,-2.692034755,-2.837107729
HCM-CSHL-0074-C25-85A,HCM-CSHL-0074-C25,HCMI Model,PAAD,-2.809448514,-2.901769708
HCM-CSHL-0075-C25-85A,HCM-CSHL-0075-C25,HCMI Model,PAAD,-2.872597728,-2.912601541
HCM-CSHL-0076-C25-85A,HCM-CSHL-0076-C25,HCMI Model,PAAD,-2.772327218,-2.97165377
HCM-CSHL-0077-C25-85A,HCM-CSHL-0077-C25,HCMI Model,PAAD,-2.955518279,-3.030790876
HCM-CSHL-0078-C25-85A,HCM-CSHL-0078-C25,HCMI Model,PAAD,-1.883110556,-2.526019644
HCM-CSHL-0078-C25-85M,HCM-CSHL-0078-C25,HCMI Model,PAAD,-2.69802526,-2.899452041
