,case_id3,cancer_type,cell_type,Diagnosis_TCGA_HCMI_Code,CCLE_Disease,umap1,umap2
TCGA-19-1787-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.261220899,-9.910667967
TCGA-F4-6854-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-6.143769297,-3.640988659
TCGA-HU-8243-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.814543757,-2.09134252
TCGA-EE-A17X-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,6.037219968,3.701516796
TCGA-05-4420-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,0.011884567,-3.079869818
TCGA-DX-A3U8-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,-3.769572768,6.601433684
TCGA-CC-A3MA-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.217878949,3.440584351
TCGA-IN-7808-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.368680987,-3.279570888
TCGA-CC-A9FW-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.383307418,3.536965777
TCGA-RP-A695-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,6.126868215,3.7389354
TCGA-AX-A3G6-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.475939241,6.569035937
TCGA-PC-A5DM-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,1.918316212,1.568621803
TCGA-BR-A4QL-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.414312873,-3.473529171
TCGA-A2-A3XX-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,1.062575128,-1.655888866
TCGA-DQ-5624-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.542038951,0.500918258
TCGA-06-5412-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.300691095,-9.031351637
TCGA-BP-4989-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.214151826,-5.809781145
TCGA-24-1426-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.315920201,7.880011488
TCGA-CZ-5459-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.190415349,-5.981685709
TCGA-44-6778-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-1.245350036,-0.775977205
TCGA-KP-A3W3-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.417651739,6.570926596
TCGA-IQ-A61O-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,0.166508314,1.280278493
TCGA-BH-A18K-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.305699077,-1.360991668
TCGA-DD-AAW0-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.915842679,3.888098646
TARGET-50-PAJMSE-01,,Kidney Cancer,TCGA Tumor,WT,Kidney Cancer,-4.637149367,7.772781302
TCGA-AA-3511-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-6.10632566,-3.668485235
TCGA-Z7-A8R5-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,1.090336111,-1.366165708
TCGA-39-5031-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.73877624,2.161369969
TCGA-DJ-A3UX-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.07756087,-0.102106567
TCGA-C8-A1HL-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.955391374,-1.28582878
TCGA-EI-6512-01,,Colorectal Cancer,TCGA Tumor,READ,Colon/Colorectal Cancer,-5.679698024,-3.632826637
TCGA-DK-A1AA-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.697227034,0.136453946
TCGA-2H-A9GF-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,4.891693559,-1.476798247
TCGA-HZ-7922-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-2.869648728,-2.527726959
TCGA-DD-AACA-02,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,1.297089246,3.871815373
TCGA-BJ-A192-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.50236556,0.86397915
TCGA-D3-A8GD-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.672334161,3.591467549
TCGA-13-1485-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.895871129,8.170824457
TCGA-BR-8372-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.424142871,-3.553220104
TCGA-64-1679-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.376445029,-2.861543011
TCGA-CV-5976-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.601817164,0.592651952
TCGA-25-1315-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.485244956,7.776026179
TCGA-A2-A0EM-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.957447257,-1.731637906
TCGA-R6-A8WC-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-5.005949054,-3.621901106
TCGA-LN-A4MQ-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-5.942965541,2.28071015
TCGA-CV-6948-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-5.344848189,2.458443333
TCGA-K7-AAU7-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.251724225,3.441081215
TCGA-CJ-6028-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.145122495,-5.60660417
TCGA-24-2297-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.629928794,8.175553728
TCGA-EL-A3D0-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.1579909,-0.215182732
TCGA-EM-A22Q-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.50975176,0.657412518
TCGA-49-6744-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.179367695,-2.997869562
TCGA-IB-7891-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-2.119611296,-2.240573477
TCGA-Q3-A5QY-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-2.782953534,-2.138816665
TCGA-41-2571-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.537762966,-9.155483793
TCGA-AJ-A3BI-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.415876475,6.586191584
TCGA-E3-A3E2-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.37703749,-0.1133801
TCGA-FB-A545-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-3.105637345,-2.673717569
TCGA-G4-6320-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-4.979040656,-3.715389322
TCGA-EB-A41A-01,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.851886239,3.513516594
TCGA-PZ-A5RE-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-3.186542544,-2.69439752
TCGA-55-6982-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.096860323,-2.939496588
TCGA-CD-8528-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.442901644,-3.488020967
TCGA-13-0897-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,2.018207159,8.223414827
TCGA-CM-6164-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-5.791497741,-3.563467811
TCGA-09-0369-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.303809014,7.708991457
TCGA-E2-A2P6-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.480592218,-1.645058702
TARGET-50-PAJMIZ-01,,Kidney Cancer,TCGA Tumor,WT,Kidney Cancer,-4.589873347,7.722428728
TCGA-EL-A4JZ-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.13965651,-0.047959577
TCGA-CV-A6K0-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.580515418,0.431549598
TCGA-13-1512-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.523772922,7.834243227
TARGET-50-PAJLTI-01,,Kidney Cancer,TCGA Tumor,WT,Kidney Cancer,-4.540328059,7.667377402
TCGA-AO-A1KT-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.66162869,-1.765318345
TCGA-D3-A3CE-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.360332456,3.637422968
TCGA-12-5299-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.297447767,-9.708310675
TARGET-50-PAJPAR-01,,Kidney Cancer,TCGA Tumor,WT,Kidney Cancer,-4.570942912,7.704493929
TCGA-29-1761-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,0.515747656,-1.032157134
TCGA-BJ-A0ZJ-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.45222136,-0.073507156
TCGA-J8-A3O2-06,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.28241774,-0.232154142
TCGA-DJ-A4V2-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.04853865,-0.393526923
TCGA-J8-A3O2-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.35429045,-0.139898758
TCGA-E9-A3HO-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.380963769,-1.707467626
TCGA-A6-A567-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-5.716179881,-3.462391208
TCGA-58-A46N-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.339436087,2.462020804
TCGA-BH-A18V-06,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,0.421597869,-1.176502656
TCGA-CG-4466-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.342183146,-3.422006916
TCGA-A3-3383-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.243102041,-6.851228308
TCGA-NJ-A4YI-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.324559424,-3.013544153
TCGA-D8-A1XJ-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.698499646,-1.05299754
TCGA-EE-A2GB-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.620088067,3.641632248
TCGA-75-7027-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-1.221915517,-2.202875208
TCGA-A2-A04P-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,0.733761575,-1.353925418
TCGA-BA-6870-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.641150031,0.667337407
TCGA-73-4666-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.006344173,-3.018637728
TCGA-MV-A51V-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.528487716,-0.46906222
TCGA-77-A5G6-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.214764151,1.789432098
TCGA-56-A4BX-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.974359069,2.436771561
TCGA-34-7107-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.280739817,2.15847056
TCGA-BR-A4J9-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-2.301251921,-1.765850734
TCGA-BJ-A290-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.46884295,-0.068144563
TCGA-CV-6955-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.512570414,1.63326471
TCGA-P3-A5Q6-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-5.783400569,0.702955414
TCGA-D7-A4Z0-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.048310313,-3.6495517
TCGA-24-2293-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.551058378,7.769329001
TCGA-QK-A64Z-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.683606181,0.679723848
TCGA-2J-AABI-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-5.147392306,0.871343483
TCGA-AC-A2FK-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.407151189,-1.605811786
TCGA-29-A5NZ-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.508669105,7.759084631
TCGA-CG-4462-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-2.724128279,-2.086703132
TCGA-37-4129-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-1.203849468,-0.575841795
TCGA-DD-AAVZ-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.472263147,3.603599478
TCGA-D5-6534-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-5.7050176,-3.474862408
TCGA-B0-5117-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,-3.520150218,5.068861891
TCGA-DJ-A13R-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.100059,0.369218458
TARGET-50-PAJMJT-01,,Kidney Cancer,TCGA Tumor,WT,Kidney Cancer,-4.541241202,7.6737489
TCGA-61-2113-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.57586309,7.699100424
TCGA-77-8145-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.606500659,1.698888231
TCGA-LL-A740-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,-4.564311061,-1.442218613
TCGA-F5-6863-01,,Colorectal Cancer,TCGA Tumor,READ,Colon/Colorectal Cancer,-6.174683604,-3.62992103
TCGA-06-2565-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.319882777,-9.123022627
TCGA-33-AASD-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.256086383,2.369018723
TCGA-ET-A3BS-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.01588866,-0.416791599
TCGA-BH-A0BZ-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.606145826,-1.690576028
TCGA-22-5478-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.544424567,1.689898301
TCGA-29-1768-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.12830576,-0.576126348
TCGA-EL-A3T1-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,10.9448218,-0.460746538
TCGA-ED-A627-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.553590771,3.659268786
TCGA-16-0846-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.211170938,-9.837341856
TCGA-C8-A3M8-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.637565103,-1.713071059
TCGA-BJ-A0ZF-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.58451029,0.825606991
TCGA-BH-A0BM-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.098872152,-0.943093489
TCGA-DM-A0X9-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-6.077657733,-3.659061264
TCGA-AY-A69D-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-5.952051673,-3.747568439
TCGA-55-A4DG-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.194434438,-3.130911659
TARGET-50-PAJNTJ-02,,Kidney Cancer,TCGA Tumor,WT,Kidney Cancer,-4.623096976,7.759065081
TARGET-50-PAJNTJ-01,,Kidney Cancer,TCGA Tumor,WT,Kidney Cancer,-4.58992866,7.722776343
TCGA-ET-A2N4-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.60063502,0.187784393
TCGA-58-A46J-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.743494067,1.853471566
TCGA-EE-A3AB-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,4.968811002,3.397469689
TCGA-24-1551-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.83698484,8.57774489
TCGA-78-7146-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.044127438,-2.996922325
TCGA-06-2561-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.515138712,-10.04494531
TCGA-IN-8663-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-5.200835738,-3.350562881
TCGA-DD-AAVV-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.399056252,3.555953909
TCGA-37-4133-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.205750022,1.817445089
TCGA-77-8146-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.190084491,1.396119643
TCGA-RL-AAAS-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-2.429394517,-2.408693861
TCGA-L9-A5IP-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-1.323509249,-2.199667286
TCGA-CJ-5672-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,5.990090337,-6.415517401
TCGA-73-4662-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.409882638,-3.016302894
TCGA-CQ-5327-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.55842689,0.432534892
TCGA-E2-A1LL-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,-3.839377436,0.290179927
TCGA-FD-A3SR-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.677523169,-0.877029132
TCGA-24-1435-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.560703483,7.787018706
TCGA-BH-A28O-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,1.348871794,-1.259124826
TCGA-XV-AAZW-01,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.258990255,3.916743685
TCGA-F2-7276-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-2.439149413,-2.452419113
TCGA-BJ-A0Z2-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.56350943,0.802080978
TCGA-DK-A6B0-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.731722865,0.053285246
TCGA-B0-4846-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.313868013,-6.82180364
TCGA-ET-A2N0-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.06721541,-0.417007368
TCGA-FB-A7DR-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-2.476550135,-1.830553483
TCGA-YB-A89D-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-3.044075761,-2.555068325
TCGA-77-7142-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.088616404,1.016530801
TCGA-CR-7374-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.033119235,2.390720297
TCGA-KS-A4I1-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.41515967,-0.140895839
TCGA-60-2719-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.780995879,2.162909199
TCGA-VR-A8Q7-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-5.028088126,0.686508466
TCGA-A7-A4SC-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.34808847,-1.146440219
TCGA-FD-A5BS-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,0.634729173,0.132304039
TCGA-85-8351-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-4.982396159,0.745155622
TCGA-CN-6013-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.535032782,1.574086953
TCGA-E9-A24A-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.023453918,-1.525660347
TCGA-BC-4073-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.157892149,3.344684292
TCGA-AC-A6IV-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.631420102,-1.563990663
TCGA-DK-A1AD-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.661131892,0.081975531
TCGA-B6-A400-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,1.030560162,-1.571721505
TCGA-EM-A2OW-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.40890643,0.958940197
TCGA-XF-AAMQ-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.734379802,0.100631036
TCGA-A8-A096-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.040375438,-1.790940355
TCGA-AG-3742-01,,Colorectal Cancer,TCGA Tumor,READ,Colon/Colorectal Cancer,-5.700941596,-3.427118133
TCGA-CN-4722-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.351132426,0.143255871
TCGA-B0-5075-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,5.981931653,-5.877257894
TCGA-W3-AA1R-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.859627214,3.643936087
TCGA-13-0899-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.390248206,7.842315127
TCGA-AY-A8YK-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-5.861555133,-3.759381126
TCGA-QA-A7B7-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.821282383,4.105472017
TCGA-DA-A1IC-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,6.059110131,3.670169998
TCGA-A5-AB3J-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.091950741,6.612192084
TCGA-50-8460-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.202462408,-3.093051504
TCGA-PG-A917-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.250435975,6.633715082
TCGA-IB-7889-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-2.951152358,-2.089257549
TCGA-EM-A3SY-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.29893157,1.02970611
TCGA-CN-5361-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.709393058,0.667457749
TCGA-50-5933-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,0.07111704,-2.561763119
TCGA-EM-A3O7-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.539103,0.039449689
TCGA-IE-A4EH-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,1.977926936,1.589549829
TCGA-A2-A04Y-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.368897405,-1.603378009
TCGA-43-3394-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.422708068,2.471502472
TCGA-ZF-AA4T-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.56689671,-0.522166859
TCGA-ET-A39P-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.00120207,-0.578674268
TCGA-29-1769-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.68044087,7.613396097
TCGA-78-7155-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.372990701,0.001621064
TCGA-CJ-4899-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.221167054,-5.912118505
TCGA-E7-A3X6-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.778560195,0.121586237
TCGA-5M-AAT4-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-6.054780516,-3.564661096
TCGA-EL-A4K7-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.17224642,-0.317103367
TCGA-E2-A1IH-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.892109361,-1.705680441
TCGA-24-1474-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.753321614,8.56054442
TCGA-CM-6167-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-5.285425219,-3.11820371
TCGA-14-0736-02,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.262127426,-9.426258634
TCGA-CR-7370-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-5.519754443,2.191608597
TCGA-B6-A0RH-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.957502094,-1.428226303
TCGA-EL-A3ZG-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.53740641,0.65791874
TCGA-EL-A3CR-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,10.97064539,-0.234650831
TCGA-44-6774-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.852620277,-2.010592769
TCGA-GU-A762-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-5.372528109,0.759212364
TCGA-AX-A3G8-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.416178313,6.504023482
TCGA-AR-A1AS-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.827615466,-1.669427346
TCGA-09-2048-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.232662466,7.680148531
TCGA-HU-A4GQ-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.477797065,-3.493610453
TCGA-73-4670-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-1.288641009,-2.187395166
TCGA-MT-A7BN-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,3.888385024,-0.81690849
TCGA-D3-A51G-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.038958993,3.431140352
TCGA-BR-4371-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-5.648945365,-3.24159963
TCGA-B0-5700-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.413206544,-6.765397142
TCGA-B0-4847-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.051839795,-6.539149832
TCGA-BF-A5ER-01,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,6.109019246,3.764635969
TCGA-56-A4BW-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.882113013,1.635952641
TCGA-56-8308-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.312366042,2.471349407
TCGA-59-2348-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.715588536,8.067855288
