,case_id3,cancer_type,cell_type,Diagnosis_TCGA_HCMI_Code,CCLE_Disease,umap1,umap2
HCM-BROD-0923-C64-85B,HCM-BROD-0923-C64,Wilms Tumor,HCMI Model,WT,Kidney Cancer,1.404450622,7.638617445
HCM-BROD-0924-C34-85A,HCM-BROD-0924-C34,Lung Cancer,HCMI Model,SCLC,Lung Cancer,-5.356515918,2.308853317
HCM-BROD-0925-C71-85A,HCM-BROD-0925-C71,Glioblastoma,HCMI Model,GBM,Brain Cancer,1.942451563,-9.38712747
HCM-BROD-0926-C16-85B,HCM-BROD-0926-C16,Gastric Cancer,HCMI Model,STAD,Gastric Cancer,-2.985741887,-3.080322813
HCM-BROD-0926-C16-85N,HCM-BROD-0926-C16,Gastric Cancer,HCMI Model,STAD,Gastric Cancer,-2.77512649,-2.873630117
HCM-BROD-0953-C34-85B,HCM-BROD-0953-C34,Lung Cancer,HCMI Model,LUAD,Lung Cancer,-1.472213421,-0.847806465
HCM-BROD-0954-C34-85A,HCM-BROD-0954-C34,Lung Cancer,HCMI Model,LUAD,Lung Cancer,-1.083302769,-1.984789442
HCM-BROD-0955-C15-85B,HCM-BROD-0955-C15,Esophageal Cancer,HCMI Model,ESCA,Esophageal Cancer,-2.721760068,-2.912837337
HCM-BROD-0957-C34-85A,HCM-BROD-0957-C34,Lung Cancer,HCMI Model,LUAD,Lung Cancer,-0.046774808,-2.889943193
HCM-BROD-0959-C18-85B,HCM-BROD-0959-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-4.407907996,-3.432024072
HCM-BROD-0960-C16-85A,HCM-BROD-0960-C16,Gastric Cancer,HCMI Model,STAD,Gastric Cancer,-2.858275685,-3.062813114
HCM-BROD-0962-C16-85A,HCM-BROD-0962-C16,Gastric Cancer,HCMI Model,STAD,Gastric Cancer,-2.770046029,-2.897450994
HCM-BROD-1098-C91-85B,HCM-BROD-1098-C91,"Prolymphocytic Leukemia, T-cell type",HCMI Model,TPLL,,-9.803379569,6.389326502
HCM-BROD-1099-C84-85B,HCM-BROD-1099-C84,Mature T-cell lymphoma,HCMI Model,CTCL,,-9.815372977,6.397458006
HCM-BROD-1100-C84-85B,HCM-BROD-1100-C84,Sezary Syndrome,HCMI Model,CTCL,,-9.81525186,6.394395281
HCM-BROD-1102-C85-85A,HCM-BROD-1102-C85,"Malignant Lymphoma, non-Hodgkins",HCMI Model,NHL,,-8.776950393,7.168636252
HCM-BROD-1103-C86-85A,HCM-BROD-1103-C86,Angioimmunoblastic T-cell Lymphoma,HCMI Model,CTCL,Lymphoma,-9.761583838,6.427117277
HCM-BROD-1104-C85-85A,HCM-BROD-1104-C85,"Malignant Lymphoma, non-Hodgkins",HCMI Model,NHL,,-8.784787688,7.181554724
HCM-BROD-1105-C73-85A,HCM-BROD-1105-C73,Thyroid Papillary Carcinoma,HCMI Model,THCA,Thyroid Cancer,-0.341167066,-3.049062084
HCM-BROD-1117-C56-85A,HCM-BROD-1117-C56,Ovarian Cancer,HCMI Model,OV,,1.394027021,7.782810618
HCM-BROD-1119-C43-85B,HCM-BROD-1119-C43,Skin Cancer,HCMI Model,SKCM,Eye Cancer,6.646357026,4.370049883
HCM-BROD-1121-C71-85A,HCM-BROD-1121-C71,Glioblastoma,HCMI Model,GBM,Brain Cancer,1.346913543,-9.240225386
HCM-BROD-1122-C49-85B,HCM-BROD-1122-C49,Clear Cell Sarcoma,HCMI Model,SARC,Sarcoma,1.78251585,1.112867881
HCM-BROD-1123-C71-85A,HCM-BROD-1123-C71,Glioblastoma,HCMI Model,GBM,Brain Cancer,1.307381418,-9.09242494
HCM-BROD-1124-C16-85B,HCM-BROD-1124-C16,Gastric Cancer,HCMI Model,STAD,Gastric Cancer,-2.709089789,-2.923745941
HCM-BROD-1127-C15-85B,HCM-BROD-1127-C15,Esophageal Cancer,HCMI Model,ESCA,Esophageal Cancer,-2.794426236,-2.957657169
HCM-BROD-1129-C56-85B,HCM-BROD-1129-C56,Ovarian Cancer,HCMI Model,OV,,1.51551148,8.034781386
HCM-BROD-1130-C06-85B,HCM-BROD-1130-C06,Head and Neck cancer,HCMI Model,HNSC,,-0.133577142,-3.209764789
HCM-BROD-1131-C06-85B,HCM-BROD-1131-C06,Head and Neck cancer,HCMI Model,HNSC,,-6.474812541,0.571613659
HCM-BROD-1181-C73-85B,HCM-BROD-1181-C73,Thyroid Papillary Carcinoma,HCMI Model,THCA,,0.76516464,0.725268711
HCM-BROD-1186-C64-85B,HCM-BROD-1186-C64,Kidney Cancer,HCMI Model,KIRC,Kidney Cancer,6.212787118,-5.687773298
HCM-CSHL-0056-C18-85B,HCM-CSHL-0056-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-4.64235929,-3.406329464
HCM-CSHL-0057-C18-85B,HCM-CSHL-0057-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.952426467,-2.717846464
HCM-CSHL-0059-C25-85A,HCM-CSHL-0059-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.828329835,-2.973375868
HCM-CSHL-0060-C18-85A,HCM-CSHL-0060-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.906662974,-2.751579594
HCM-CSHL-0061-C18-85A,HCM-CSHL-0061-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.916902098,-2.653657984
HCM-CSHL-0062-C18-85A,HCM-CSHL-0062-C18,Colorectal Cancer,HCMI Model,READ,Colon/Colorectal Cancer,-5.912541423,-2.770092558
HCM-CSHL-0063-C18-85A,HCM-CSHL-0063-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.867475543,-2.662852596
HCM-CSHL-0064-C18-85A,HCM-CSHL-0064-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.97584394,-2.681966614
HCM-CSHL-0065-C20-85A,HCM-CSHL-0065-C20,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.926171336,-2.764755796
HCM-CSHL-0073-C25-85B,HCM-CSHL-0073-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.692034755,-2.837107729
HCM-CSHL-0074-C25-85A,HCM-CSHL-0074-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.809448514,-2.901769708
HCM-CSHL-0075-C25-85A,HCM-CSHL-0075-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.872597728,-2.912601541
HCM-CSHL-0076-C25-85A,HCM-CSHL-0076-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.772327218,-2.97165377
HCM-CSHL-0077-C25-85A,HCM-CSHL-0077-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.955518279,-3.030790876
HCM-CSHL-0078-C25-85A,HCM-CSHL-0078-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-1.883110556,-2.526019644
HCM-CSHL-0078-C25-85M,HCM-CSHL-0078-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.69802526,-2.899452041
HCM-CSHL-0078-C25-85P,HCM-CSHL-0078-C25,IPMN,HCMI Model,PAAD,Pancreatic Cancer,-2.703609738,-2.843073915
HCM-CSHL-0079-C25-85A,HCM-CSHL-0079-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.750667367,-2.878225159
HCM-CSHL-0080-C25-85A,HCM-CSHL-0080-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.881836924,-3.042806696
HCM-CSHL-0081-C25-85A,HCM-CSHL-0081-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-3.02394012,-2.669063877
HCM-CSHL-0082-C25-85A,HCM-CSHL-0082-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.933460746,-3.07721455
HCM-CSHL-0084-C25-85A,HCM-CSHL-0084-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-3.194856677,-2.981978725
HCM-CSHL-0088-C25-85A,HCM-CSHL-0088-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.758886609,-2.858059954
HCM-CSHL-0089-C25-85A,HCM-CSHL-0089-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.982041392,-3.001342605
HCM-CSHL-0089-C25-85M,HCM-CSHL-0089-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.844800505,-2.948144745
HCM-CSHL-0090-C25-85A,HCM-CSHL-0090-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.840009246,-2.891739677
HCM-CSHL-0091-C25-85A,HCM-CSHL-0091-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.817356381,-2.783075641
HCM-CSHL-0092-C25-85A,HCM-CSHL-0092-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.795264754,-2.874815058
HCM-CSHL-0093-C25-85A,HCM-CSHL-0093-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.726991448,-2.824016641
HCM-CSHL-0094-C25-85A,HCM-CSHL-0094-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.908818755,-2.860157083
HCM-CSHL-0141-C18-85A,HCM-CSHL-0141-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.977898631,-2.823925089
HCM-CSHL-0142-C18-85A,HCM-CSHL-0142-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.755133185,-2.876151155
HCM-CSHL-0143-C20-85A,HCM-CSHL-0143-C20,Colorectal Cancer,HCMI Model,READ,Colon/Colorectal Cancer,-5.92654756,-2.889141153
HCM-CSHL-0151-C50-85A,HCM-CSHL-0151-C50,Breast Cancer,HCMI Model,BRCA,Breast Cancer,4.296512094,-1.477533411
HCM-CSHL-0153-C50-85E,HCM-CSHL-0153-C50,Breast Cancer,HCMI Model,BRCA,Breast Cancer,4.435030427,-1.213710736
HCM-CSHL-0155-C50-85D,HCM-CSHL-0155-C50,Breast Cancer,HCMI Model,BRCA,Breast Cancer,4.22478148,-1.751151751
HCM-CSHL-0158-C20-85A,HCM-CSHL-0158-C20,Colorectal Cancer,HCMI Model,READ,Colon/Colorectal Cancer,-5.922758612,-2.658609938
HCM-CSHL-0159-C18-85B,HCM-CSHL-0159-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.527619872,-2.796741318
