gene,both,model-only,tumor-only,total,cancer_type
MAP2K4,0.0,0.0,1.0,1.0,UCEC
MAX,0.0,0.0,1.0,1.0,UCEC
MLH1,1.0,0.0,0.0,1.0,UCEC
MSH3,1.0,0.0,0.0,1.0,UCEC
MSH6,1.0,0.0,0.0,1.0,UCEC
MTOR,0.0,0.0,1.0,1.0,UCEC
MYCN,1.0,0.0,0.0,1.0,UCEC
NCOR1,1.0,0.0,0.0,1.0,UCEC
NF1,1.0,0.0,0.0,1.0,UCEC
FLT3,1.0,0.0,0.0,1.0,UCEC
NPM1,0.0,1.0,0.0,1.0,UCEC
NUP133,1.0,0.0,0.0,1.0,UCEC
NUP93,0.0,0.0,1.0,1.0,UCEC
PAX5,0.0,1.0,0.0,1.0,UCEC
PDGFRA,0.0,0.0,1.0,1.0,UCEC
PHF6,1.0,0.0,0.0,1.0,UCEC
PIK3CB,0.0,1.0,0.0,1.0,UCEC
PLCB4,0.0,0.0,1.0,1.0,UCEC
PLCG1,1.0,0.0,0.0,1.0,UCEC
NOTCH2,1.0,0.0,0.0,1.0,UCEC
FUBP1,0.0,0.0,1.0,1.0,UCEC
GNA13,0.0,0.0,1.0,1.0,UCEC
GNAQ,0.0,0.0,1.0,1.0,UCEC
GTF2I,1.0,0.0,0.0,1.0,UCEC
HGF,0.0,0.0,1.0,1.0,UCEC
HRAS,0.0,1.0,0.0,1.0,UCEC
IDH2,0.0,0.0,1.0,1.0,UCEC
IL6ST,0.0,0.0,1.0,1.0,UCEC
IL7R,0.0,0.0,1.0,1.0,UCEC
LZTR1,0.0,0.0,1.0,1.0,UCEC
JAK2,1.0,0.0,0.0,1.0,UCEC
KDM5C,0.0,1.0,0.0,1.0,UCEC
KDM6A,1.0,0.0,0.0,1.0,UCEC
KEAP1,0.0,0.0,1.0,1.0,UCEC
KEL,0.0,0.0,1.0,1.0,UCEC
KIT,1.0,0.0,0.0,1.0,UCEC
KLF5,0.0,0.0,1.0,1.0,UCEC
KRT222,0.0,0.0,1.0,1.0,UCEC
LATS2,0.0,0.0,1.0,1.0,UCEC
IRF2,1.0,0.0,0.0,1.0,UCEC
CHD4,1.0,0.0,0.0,1.0,UVM
GNAQ,1.0,0.0,0.0,1.0,UVM
KANSL1,0.0,0.0,1.0,1.0,UVM
FGFR3,0.0,1.0,1.0,2.0,WT
BAP1,0.0,1.0,0.0,1.0,WT
BCOR,0.0,1.0,0.0,1.0,WT
BRCA2,0.0,0.0,1.0,1.0,WT
BRCA1,0.0,1.0,0.0,1.0,WT
CDK4,0.0,1.0,0.0,1.0,WT
CTNNB1,1.0,0.0,0.0,1.0,WT
FGFR1,1.0,0.0,0.0,1.0,WT
FGFR2,1.0,0.0,0.0,1.0,WT
GATA4,1.0,0.0,0.0,1.0,WT
IGF2,0.0,1.0,0.0,1.0,WT
KAT6A,1.0,0.0,0.0,1.0,WT
MACF1,0.0,0.0,1.0,1.0,WT
MAP3K4,0.0,1.0,0.0,1.0,WT
MCL1,0.0,1.0,0.0,1.0,WT
MSH2,0.0,0.0,1.0,1.0,WT
MYCN,1.0,0.0,0.0,1.0,WT
PIK3CA,0.0,1.0,0.0,1.0,WT
PPP2R2A,1.0,0.0,0.0,1.0,WT
RIT1,0.0,1.0,0.0,1.0,WT
SF3B1,1.0,0.0,0.0,1.0,WT
TERT,0.0,1.0,0.0,1.0,WT
TP53,1.0,0.0,0.0,1.0,WT
WT1,1.0,0.0,0.0,1.0,WT
ZNF703,1.0,0.0,0.0,1.0,WT
