cancer_type,count
COAD,81
PAAD,54
GBM,40
ESCA,37
READ,34
SKCM,25
STAD,15
LUAD,11
UCEC,9
SARC,8
BRCA,8
BLCA,8
OV,7
AMPV,6
TVA,5
CHOL,5
WT,4
KIRC,2
KICH,1
HNSC,1
IPMN,1
GBAD,1
COTA,1
DCIS,1
DEST,1
LIHC,1
SCLC,1
MISC,1
LUSC,1
SESP,1
SIAD,1
SIAC,1
UVM,1
