gene,count,cancer_type
TSC1,1,STAD
TSC2,1,STAD
UNCX,1,STAD
USP9X,1,STAD
VGLL3,1,STAD
YAP1,1,STAD
ZBTB7B,1,STAD
ZFHX3,1,STAD
ZNF703,1,STAD
KRAS,108,TGCT
CCND2,94,TGCT
KIT,26,TGCT
CDK6,11,TGCT
MDM2,10,TGCT
PDGFRA,10,TGCT
EGFR,7,TGCT
KAT6A,7,TGCT
MYC,6,TGCT
CDK4,5,TGCT
PPP2R2A,5,TGCT
FGFR1,4,TGCT
GATA4,4,TGCT
NRAS,4,TGCT
SOX2,4,TGCT
TERC,4,TGCT
ZNF703,4,TGCT
BAP1,3,TGCT
BRAF,3,TGCT
CDK5,3,TGCT
DMD,3,TGCT
MCL1,3,TGCT
PIK3CA,3,TGCT
RIT1,3,TGCT
APOB,2,TGCT
CREBBP,2,TGCT
CTNNB1,2,TGCT
DDX3X,2,TGCT
ERBB2,2,TGCT
FGFR2,2,TGCT
FOXA1,2,TGCT
GATA3,2,TGCT
HUWE1,2,TGCT
KAT6B,2,TGCT
KMT2C,2,TGCT
MACF1,2,TGCT
NF1,2,TGCT
NIPBL,2,TGCT
RAC1,2,TGCT
RPL5,2,TGCT
SMC3,2,TGCT
APC,1,TGCT
ARHGAP35,1,TGCT
ARID1A,1,TGCT
ARID5B,1,TGCT
ASXL1,1,TGCT
ATR,1,TGCT
ATRX,1,TGCT
BRCA1,1,TGCT
BRD4,1,TGCT
CIC,1,TGCT
CTNND1,1,TGCT
DICER1,1,TGCT
EP300,1,TGCT
EPAS1,1,TGCT
EPHA3,1,TGCT
FAT1,1,TGCT
FLNA,1,TGCT
FOXQ1,1,TGCT
GATA6,1,TGCT
GNAQ,1,TGCT
IDH1,1,TGCT
IRF6,1,TGCT
JAK2,1,TGCT
JUN,1,TGCT
KDM6A,1,TGCT
KMT2B,1,TGCT
KMT2D,1,TGCT
MDM4,1,TGCT
MGA,1,TGCT
MITF,1,TGCT
MSH6,1,TGCT
MUC6,1,TGCT
MYCN,1,TGCT
MYH9,1,TGCT
NCOR1,1,TGCT
NOTCH1,1,TGCT
NSD1,1,TGCT
PGR,1,TGCT
PIK3CB,1,TGCT
PLXNB2,1,TGCT
PPM1D,1,TGCT
PTEN,1,TGCT
RAD21,1,TGCT
SPTA1,1,TGCT
STAG2,1,TGCT
TP53,1,TGCT
TRAF3,1,TGCT
VGLL3,1,TGCT
XPO1,1,TGCT
ZFHX3,1,TGCT
ZMYM2,1,TGCT
ZMYM3,1,TGCT
BRAF,6,THCA
HRAS,2,THCA
ARID2,1,THCA
CDKN2A,1,THCA
CTNNB1,1,THCA
GRIN2D,1,THCA
IL7R,1,THCA
KEAP1,1,THCA
MAP3K1,1,THCA
MDM4,1,THCA
PTEN,1,THCA
SPTAN1,1,THCA
GTF2I,43,THYM
CDKN2A,4,THYM
HRAS,4,THYM
DMD,3,THYM
MCL1,3,THYM
NRAS,3,THYM
TP53,3,THYM
BCOR,2,THYM
EIF1AX,2,THYM
EP300,2,THYM
HUWE1,2,THYM
MDM4,2,THYM
MTOR,2,THYM
NF1,2,THYM
RIT1,2,THYM
AKT1,1,THYM
APOB,1,THYM
ARID2,1,THYM
ASXL1,1,THYM
BRCA2,1,THYM
BRD7,1,THYM
CCND2,1,THYM
CHD3,1,THYM
CHD8,1,THYM
CYLD,1,THYM
EEF1A1,1,THYM
EPAS1,1,THYM
ERBB2,1,THYM
KIT,1,THYM
KMT2C,1,THYM
KRAS,1,THYM
MAP2K1,1,THYM
MAP3K4,1,THYM
MECOM,1,THYM
MLH1,1,THYM
MSH2,1,THYM
MSH3,1,THYM
MYH9,1,THYM
NF2,1,THYM
NIPBL,1,THYM
PAX5,1,THYM
PBRM1,1,THYM
POLQ,1,THYM
PPP2R1A,1,THYM
PTCH1,1,THYM
PTPRD,1,THYM
RASA1,1,THYM
SAV1,1,THYM
SETD2,1,THYM
SIN3A,1,THYM
SMARCA4,1,THYM
SPTA1,1,THYM
STAG2,1,THYM
VHL,1,THYM
ZFHX3,1,THYM
PTEN,5,UCEC
PIK3CA,4,UCEC
ZFHX3,4,UCEC
ARHGAP35,3,UCEC
ARID1A,3,UCEC
CHD3,3,UCEC
CHD8,3,UCEC
CREBBP,3,UCEC
CTCF,3,UCEC
DICER1,3,UCEC
FAT1,3,UCEC
KMT2B,3,UCEC
MACF1,3,UCEC
MGA,3,UCEC
NFE2L2,3,UCEC
NOTCH2,3,UCEC
PDS5B,3,UCEC
PIK3R1,3,UCEC
ABL1,2,UCEC
APC,2,UCEC
APOB,2,UCEC
ARID5B,2,UCEC
ATF7IP,2,UCEC
BAP1,2,UCEC
BCOR,2,UCEC
BRCA2,2,UCEC
CIC,2,UCEC
CTNNB1,2,UCEC
CTNND1,2,UCEC
EP300,2,UCEC
FBXW7,2,UCEC
FGFR2,2,UCEC
HUWE1,2,UCEC
JAK1,2,UCEC
JAK3,2,UCEC
KDM5C,2,UCEC
KMT2D,2,UCEC
LATS2,2,UCEC
LZTR1,2,UCEC
MSH3,2,UCEC
MTOR,2,UCEC
MYC,2,UCEC
NF1,2,UCEC
NIPBL,2,UCEC
NOTCH1,2,UCEC
POLE,2,UCEC
PTCH1,2,UCEC
RASA1,2,UCEC
RIT1,2,UCEC
RNF43,2,UCEC
SMAD2,2,UCEC
SPTA1,2,UCEC
SPTAN1,2,UCEC
USP9X,2,UCEC
ACVR1,1,UCEC
ACVR1B,1,UCEC
ALK,1,UCEC
AMER1,1,UCEC
AR,1,UCEC
ASXL1,1,UCEC
ASXL2,1,UCEC
ATM,1,UCEC
ATR,1,UCEC
ATRX,1,UCEC
AXIN2,1,UCEC
BCL2L11,1,UCEC
BRAF,1,UCEC
BRCA1,1,UCEC
CARD11,1,UCEC
CCND1,1,UCEC
CCND2,1,UCEC
CDK12,1,UCEC
CDKN1A,1,UCEC
CDKN1B,1,UCEC
CHD4,1,UCEC
COL5A1,1,UCEC
CSDE1,1,UCEC
CUL3,1,UCEC
DDX3X,1,UCEC
DHX9,1,UCEC
DIAPH2,1,UCEC
DMD,1,UCEC
DNMT3A,1,UCEC
EGFR,1,UCEC
EGR3,1,UCEC
ELF3,1,UCEC
EPAS1,1,UCEC
EPHA2,1,UCEC
EPHA3,1,UCEC
ERBB3,1,UCEC
FGFR1,1,UCEC
FLNA,1,UCEC
FOXA2,1,UCEC
GABRA6,1,UCEC
GATA3,1,UCEC
GNA13,1,UCEC
GNAS,1,UCEC
GRIN2D,1,UCEC
HGF,1,UCEC
IDH2,1,UCEC
IGF1R,1,UCEC
INPPL1,1,UCEC
IRF2,1,UCEC
IRF6,1,UCEC
JAK2,1,UCEC
KANSL1,1,UCEC
KAT6A,1,UCEC
KDM6A,1,UCEC
KEAP1,1,UCEC
KEL,1,UCEC
KLF5,1,UCEC
KMT2A,1,UCEC
KMT2C,1,UCEC
KRAS,1,UCEC
MAP2K1,1,UCEC
MAP2K4,1,UCEC
MAP3K1,1,UCEC
MAP3K4,1,UCEC
MAPK1,1,UCEC
MAX,1,UCEC
MECOM,1,UCEC
MED12,1,UCEC
MSH6,1,UCEC
MUC6,1,UCEC
NF2,1,UCEC
NSD1,1,UCEC
NUP133,1,UCEC
NUP93,1,UCEC
PDGFRA,1,UCEC
PHF6,1,UCEC
PIK3CG,1,UCEC
PMS1,1,UCEC
POLQ,1,UCEC
PPP2R1A,1,UCEC
PTPDC1,1,UCEC
PTPN11,1,UCEC
PTPRC,1,UCEC
PTPRD,1,UCEC
RAD21,1,UCEC
RB1,1,UCEC
RBM10,1,UCEC
RFC1,1,UCEC
RHEB,1,UCEC
RHOA,1,UCEC
RNF111,1,UCEC
SCAF4,1,UCEC
SETBP1,1,UCEC
SETD2,1,UCEC
SF3B1,1,UCEC
SMARCA1,1,UCEC
SMARCB1,1,UCEC
SOS1,1,UCEC
SOX2,1,UCEC
SOX9,1,UCEC
SPOP,1,UCEC
STAG2,1,UCEC
TBL1XR1,1,UCEC
TBX3,1,UCEC
TERC,1,UCEC
TET2,1,UCEC
THRAP3,1,UCEC
TLR4,1,UCEC
TNFAIP3,1,UCEC
TP53,1,UCEC
TSC1,1,UCEC
TXNIP,1,UCEC
XPO1,1,UCEC
ZBTB20,1,UCEC
ZC3H12A,1,UCEC
ZMYM2,1,UCEC
ZMYM3,1,UCEC
ZNF133,1,UCEC
ZNF217,1,UCEC
TP53,34,UCS
FBXW7,15,UCS
MYC,14,UCS
PIK3CA,14,UCS
PPP2R1A,11,UCS
KAT6A,9,UCS
CCNE1,8,UCS
PTEN,8,UCS
RIT1,8,UCS
CHD4,7,UCS
KRAS,7,UCS
TERC,7,UCS
ARID1A,6,UCS
RB1,5,UCS
ERBB2,4,UCS
FGFR1,4,UCS
FGFR3,4,UCS
MCL1,4,UCS
PIK3R1,4,UCS
SOX2,4,UCS
ZBTB7B,4,UCS
ZNF217,4,UCS
ARHGAP35,3,UCS
BCOR,3,UCS
CCND2,3,UCS
ERBB3,3,UCS
ESR1,3,UCS
HUWE1,3,UCS
KAT6B,3,UCS
KDM6A,3,UCS
KMT2D,3,UCS
MED12,3,UCS
RNF43,3,UCS
TERT,3,UCS
ZNF703,3,UCS
BCL2L11,2,UCS
BRCA2,2,UCS
BRD4,2,UCS
CACNA1A,2,UCS
CREBBP,2,UCS
DMD,2,UCS
FLNA,2,UCS
FOXA2,2,UCS
GATA3,2,UCS
GATA6,2,UCS
KMT2C,2,UCS
MAP3K4,2,UCS
MDM2,2,UCS
MITF,2,UCS
NF1,2,UCS
NIPBL,2,UCS
PLXNB2,2,UCS
PTPRD,2,UCS
QKI,2,UCS
RASA1,2,UCS
SMAD4,2,UCS
SPOP,2,UCS
TAF1,2,UCS
ZFP36L1,2,UCS
ACVR1B,1,UCS
AMER1,1,UCS
APOB,1,UCS
CARD11,1,UCS
CD274,1,UCS
CDK4,1,UCS
CDK8,1,UCS
CDKN2A,1,UCS
CHEK2,1,UCS
CIC,1,UCS
CTCF,1,UCS
DHX9,1,UCS
DICER1,1,UCS
EP300,1,UCS
EPAS1,1,UCS
FGFR2,1,UCS
GABRA6,1,UCS
GATA4,1,UCS
HGF,1,UCS
HLA-B,1,UCS
IGF1R,1,UCS
IGF2,1,UCS
IL6ST,1,UCS
KIF1A,1,UCS
KMT2B,1,UCS
LATS2,1,UCS
LZTR1,1,UCS
MACF1,1,UCS
MAP3K1,1,UCS
MDM4,1,UCS
MEN1,1,UCS
MET,1,UCS
MSH6,1,UCS
MYH9,1,UCS
NOTCH1,1,UCS
NSD1,1,UCS
PBRM1,1,UCS
PGR,1,UCS
PIK3CG,1,UCS
PRKAR1A,1,UCS
RAC1,1,UCS
RFC1,1,UCS
RNF111,1,UCS
RRAS2,1,UCS
SAV1,1,UCS
SF3B1,1,UCS
SMARCA4,1,UCS
SMC1A,1,UCS
SPTA1,1,UCS
TET2,1,UCS
TNFAIP3,1,UCS
XPO1,1,UCS
YAP1,1,UCS
ZFHX3,1,UCS
ZFP36L2,1,UCS
GNAQ,22,UVM
GNA11,20,UVM
MYC,13,UVM
BAP1,10,UVM
SF3B1,9,UVM
EIF1AX,6,UVM
KDM6A,2,UVM
MACF1,2,UVM
PLCB4,2,UVM
ATF7IP,1,UVM
ATRX,1,UVM
BRCA2,1,UVM
COL5A1,1,UVM
CYLD,1,UVM
CYSLTR2,1,UVM
EP300,1,UVM
ESR1,1,UVM
FBXW7,1,UVM
FGFR3,1,UVM
HUWE1,1,UVM
KMT2D,1,UVM
MED12,1,UVM
MEN1,1,UVM
NSD1,1,UVM
PDGFRA,1,UVM
PDS5B,1,UVM
RET,1,UVM
RNF43,1,UVM
RUNX1,1,UVM
SMARCA4,1,UVM
SMC1A,1,UVM
SPTA1,1,UVM
ZBTB7B,1,UVM
ZNF217,1,UVM
