cancer_type,gene,event,note,count
UCEC,AXIN2,missense,tumor-only,3
UCEC,CTNNB1,missense,both,3
STAD,TP53,missense,both,3
UCEC,FGFR3,missense,model-only,3
COAD,HLA-A,truncating,both,3
COAD,MACF1,truncating,both,3
COAD,ERBB3,missense,both,3
COAD,KRAS,hlamp,both,3
UCEC,PGR,missense,model-only,3
BRCA,MCL1,hlamp,both,3
UCEC,KIF1A,missense,both,3
COAD,MSH3,truncating,both,3
LUAD,PIK3CG,missense,both,3
GBM,DMD,truncating,model-only,3
LUAD,CDKN2A,homdel,both,3
LUAD,KEAP1,missense,both,3
PAAD,SPTA1,missense,both,3
COAD,ERBB2,missense,both,3
PAAD,KRAS,missense,model-only,3
PAAD,TGFBR2,missense,both,3
PAAD,MYC,hlamp,model-only,3
PAAD,PLXNB2,missense,both,3
PAAD,KMT2D,missense,model-only,3
PAAD,KMT2D,truncating,both,3
PAAD,KRAS,hlamp,both,3
PAAD,SMAD4,homdel,model-only,3
SKCM,ZFHX3,missense,both,3
BLCA,FGFR3,missense,both,3
SKCM,SF3B1,missense,both,3
PAAD,TERT,promoter,both,3
SKCM,EPHA2,missense,both,3
SKCM,APC,missense,both,3
COAD,RXRA,missense,both,3
SKCM,CHD4,missense,both,3
SKCM,ALK,missense,both,3
COAD,ARID1A,truncating,model-only,3
COAD,CREBBP,missense,model-only,3
COAD,TCF7L2,truncating,model-only,3
COAD,ZFHX3,missense,both,3
COAD,ARID2,missense,both,3
COAD,TSC1,missense,both,3
COAD,PTCH1,truncating,both,3
COAD,ZBTB20,truncating,both,3
COAD,TRAF3,missense,both,3
COAD,PTPRC,truncating,both,3
COAD,DMD,truncating,both,3
COAD,CHD4,missense,both,3
COAD,CARD11,missense,both,3
COAD,CTNNB1,missense,both,3
COAD,COL5A1,missense,both,3
COAD,SETD2,truncating,both,3
COAD,BCOR,missense,both,3
COAD,SF3B1,missense,both,3
COAD,COL5A1,truncating,both,3
SKCM,INPPL1,missense,both,3
SKCM,KMT2B,missense,both,3
BRCA,CDH1,truncating,both,3
SKCM,GRIN2D,missense,both,3
SKCM,CREB3L3,missense,both,3
SKCM,CSDE1,missense,both,3
SKCM,CREBBP,missense,both,3
COAD,TERT,promoter,model-only,3
GBM,CREBBP,missense,model-only,3
READ,KMT2C,missense,model-only,3
READ,KIF1A,missense,both,3
READ,KMT2A,missense,model-only,3
SKCM,EPAS1,missense,both,3
READ,MYC,hlamp,both,3
READ,FGFR1,hlamp,tumor-only,3
READ,ERBB2,missense,both,3
READ,MYC,hlamp,tumor-only,3
READ,TERT,promoter,both,3
SKCM,BAP1,missense,both,3
READ,SPTA1,missense,both,3
COAD,DAZAP1,truncating,both,3
COAD,PIK3CG,missense,both,3
COAD,DIAPH2,missense,both,3
SKCM,CIC,missense,both,3
SKCM,ASXL2,missense,both,3
COAD,PTEN,truncating,both,3
SKCM,ARID2,truncating,both,3
COAD,PPP2R1A,missense,both,3
SKCM,ATM,missense,both,3
SKCM,BRAF,hlamp,model-only,3
SKCM,BRAF,hlamp,tumor-only,3
CHOL,TP53,missense,both,3
COAD,NOTCH2,missense,both,3
ESCA,CHD4,missense,both,3
CHOL,KRAS,missense,both,3
ESCA,ERBB4,missense,both,3
ESCA,CACNA1A,missense,both,3
COAD,NIPBL,missense,both,3
ESCA,CDKN2A,deletion,both,3
COAD,MECOM,truncating,both,3
SKCM,ASXL1,missense,both,3
COAD,ERBB4,truncating,both,2
AMPV,CTNNB1,missense,both,2
UCEC,ZFHX3,truncating,both,2
UCEC,KMT2A,missense,both,2
UCEC,KMT2B,truncating,both,2
COAD,MAP2K1,missense,both,2
COAD,KEL,missense,both,2
COAD,GATA3,missense,both,2
UCEC,MAP2K1,missense,both,2
UCEC,MSH2,truncating,both,2
UCEC,MAP3K4,truncating,model-only,2
UCEC,MCL1,hlamp,model-only,2
UCEC,JAK3,missense,tumor-only,2
UCEC,IRF6,missense,both,2
UCEC,KMT2C,truncating,both,2
UCEC,PPP2R1A,missense,both,2
UCEC,MUC6,missense,both,2
UCEC,NSD1,missense,both,2
UCEC,MACF1,missense,both,2
COAD,INPPL1,missense,both,2
UCEC,TP53,missense,both,2
SKCM,MAP3K4,missense,both,2
COAD,IDH2,missense,both,2
COAD,IGF2,hlamp,tumor-only,2
COAD,IRF6,missense,both,2
COAD,IRF6,missense,tumor-only,2
COAD,KDM5C,truncating,model-only,2
UCEC,SOX17,missense,tumor-only,2
SKCM,KMT2C,missense,tumor-only,2
SKCM,MSH2,missense,both,2
BLCA,KMT2D,truncating,both,2
BLCA,KMT2D,truncating,model-only,2
COAD,KDM6A,missense,both,2
COAD,IL7R,missense,both,2
COAD,IL7R,truncating,both,2
COAD,PIM1,missense,model-only,2
COAD,PTPRD,missense,both,2
COAD,PIK3CB,missense,both,2
COAD,PIK3CB,missense,model-only,2
COAD,PBRM1,missense,both,2
COAD,PDGFRA,missense,both,2
UCEC,SETBP1,missense,tumor-only,2
UCEC,POLQ,missense,model-only,2
COAD,PLCG1,missense,both,2
COAD,NCOR1,truncating,both,2
COAD,NF1,missense,both,2
COAD,NUP93,missense,both,2
COAD,PAX5,missense,model-only,2
COAD,DHX9,missense,both,2
COAD,DMD,missense,model-only,2
COAD,DMD,missense,tumor-only,2
LUAD,CDKN2A,homdel,model-only,2
LUAD,KEAP1,truncating,both,2
LUAD,KIF1A,missense,both,2
LUAD,KMT2D,missense,tumor-only,2
LUAD,NIPBL,missense,both,2
BRCA,TP53,missense,both,2
BRCA,POLQ,truncating,both,2
PAAD,ACVR2A,truncating,both,2
READ,ATM,missense,both,2
PAAD,STK11,truncating,both,2
LUAD,GNAS,missense,both,2
LUAD,ERBB2,missense,both,2
LUAD,ALK,missense,both,2
LUAD,AMER1,missense,both,2
LUAD,APC,missense,both,2
LUAD,ATRX,missense,both,2
PAAD,TGFBR2,truncating,both,2
PAAD,TP53,missense,model-only,2
PAAD,TP53,truncating,model-only,2
PAAD,PDGFRA,missense,both,2
PAAD,RNF43,truncating,both,2
BRCA,KDM6A,truncating,both,2
READ,ARHGAP35,missense,model-only,2
READ,BTG2,missense,model-only,2
PAAD,KDM6A,missense,both,2
PAAD,PLXNB2,missense,tumor-only,2
PAAD,SF1,missense,both,2
PAAD,SMAD4,homdel,both,2
PAAD,RNF43,truncating,model-only,2
PAAD,MTOR,missense,both,2
PAAD,MYH9,missense,model-only,2
PAAD,PBRM1,truncating,both,2
SKCM,PLCG1,missense,both,2
SKCM,RXRA,missense,both,2
READ,CHD4,missense,both,2
READ,GNAS,missense,both,2
READ,COL5A1,missense,both,2
READ,DMD,missense,both,2
READ,DMD,missense,tumor-only,2
OV,TP53,missense,both,2
SKCM,RUNX1,missense,both,2
SKCM,MTOR,missense,both,2
SKCM,MUC6,missense,both,2
SKCM,SMARCA4,missense,tumor-only,2
SKCM,STAG2,missense,both,2
SKCM,POLRMT,missense,both,2
SKCM,TERT,hlamp,model-only,2
SKCM,PTPRC,missense,both,2
SKCM,NCOR1,missense,both,2
SKCM,NF1,missense,both,2
SKCM,NOTCH2,missense,both,2
READ,EPAS1,missense,both,2
SKCM,SETBP1,missense,both,2
SKCM,PTPRD,missense,tumor-only,2
SKCM,MYD88,missense,tumor-only,2
SKCM,RIT1,missense,both,2
OV,KRAS,missense,both,2
LUAD,TP53,truncating,both,2
LUAD,KMT2A,missense,both,2
LUAD,MACF1,missense,both,2
PAAD,ATM,missense,both,2
PAAD,GATA6,hlamp,model-only,2
SARC,CDKN2A,truncating,both,2
READ,SETBP1,missense,both,2
GBM,ZBTB20,missense,both,2
ESCA,KMT2C,truncating,both,2
ESCA,POLQ,missense,both,2
ESCA,KMT2A,missense,both,2
ESCA,MUC6,truncating,both,2
ESCA,MGA,missense,both,2
ESCA,GNAS,missense,both,2
ESCA,ZFP36L2,missense,both,2
GBM,PIK3CG,missense,both,2
GBM,MUC6,missense,both,2
GBM,MUC6,missense,model-only,2
LUAD,CDKN2A,homdel,tumor-only,2
LUAD,AR,missense,both,2
GBM,ZC3H12A,missense,model-only,2
GBM,SPTAN1,missense,model-only,2
GBM,TP53,missense,model-only,2
GBM,NIPBL,missense,both,2
GBM,NOTCH2,missense,model-only,2
GBM,KMT2A,missense,model-only,2
GBM,KMT2D,missense,both,2
GBM,PIK3CG,missense,tumor-only,2
GBM,PIK3R1,missense,both,2
GBM,SMC1A,missense,model-only,2
GBM,PIK3CA,missense,both,2
GBM,KEL,missense,both,2
GBM,KIT,missense,model-only,2
GBM,MEN1,missense,model-only,2
GBM,LZTR1,missense,tumor-only,2
GBM,FAT1,missense,both,2
GBM,FUBP1,missense,model-only,2
GBM,NF1,missense,both,2
GBM,PGR,missense,both,2
READ,SETD2,missense,model-only,2
READ,SMAD4,truncating,both,2
BRCA,FLNA,missense,both,2
SARC,TP53,truncating,both,2
SARC,CIC,missense,both,2
SARC,MUC6,missense,model-only,2
GBM,CDKN2A,homdel,model-only,2
GBM,BRCA2,missense,model-only,2
READ,RB1,missense,model-only,2
READ,MTOR,missense,both,2
READ,MYC,hlamp,model-only,2
READ,NRAS,missense,both,2
READ,SMAD2,missense,both,2
READ,SMAD2,truncating,both,2
READ,SMAD4,homdel,both,2
READ,RET,missense,model-only,2
GBM,JAK3,missense,model-only,2
SKCM,CARD11,missense,both,2
SKCM,EP300,missense,both,2
READ,KANSL1,missense,model-only,2
READ,FAT1,missense,model-only,2
READ,FBXW7,truncating,both,2
READ,PIK3CG,missense,both,2
READ,SOX9,truncating,both,2
ESCA,SMARCA4,missense,both,2
ESCA,RPL5,missense,both,2
ESCA,SMAD4,missense,both,2
ESCA,KMT2B,truncating,both,2
GBM,CHD3,missense,model-only,2
BRCA,ZNF703,hlamp,model-only,2
GBM,CIC,missense,both,2
ESCA,TERT,hlamp,both,2
STAD,PDS5B,truncating,both,2
STAD,SOX9,truncating,both,2
AMPV,TP53,missense,both,2
BLCA,BAP1,missense,both,2
STAD,IL7R,missense,both,2
STAD,GNAS,missense,both,2
ESCA,APC,missense,both,2
ESCA,ARID2,truncating,both,2
STAD,KRAS,hlamp,model-only,2
STAD,KMT2C,missense,both,2
STAD,CHD8,missense,both,2
STAD,CACNA1A,missense,both,2
STAD,CCND1,hlamp,both,2
STAD,CD44,hlamp,tumor-only,2
STAD,KRAS,missense,both,2
STAD,MYC,hlamp,both,2
STAD,CDKN2A,homdel,model-only,2
STAD,ERBB2,hlamp,both,2
SKCM,TNFAIP3,missense,both,2
SKCM,TP53,missense,tumor-only,2
STAD,EGFR,hlamp,both,2
SKCM,THRAP3,missense,both,2
SKCM,ZMYM2,missense,tumor-only,2
STAD,KRAS,hlamp,both,2
GBM,CHD8,missense,model-only,2
SKCM,ZMYM2,truncating,both,2
SKCM,ZMYM3,missense,both,2
SKCM,ZBTB20,missense,both,2
ESCA,GNAS,truncating,both,2
ESCA,FOXQ1,missense,both,2
ESCA,GABRA6,missense,both,2
COAD,APC,missense,model-only,2
SKCM,ABL1,missense,both,2
SKCM,ATR,missense,both,2
SKCM,APC,missense,tumor-only,2
SKCM,BRCA2,missense,both,2
SKCM,CDKN2A,homdel,tumor-only,2
SKCM,CDKN2A,truncating,both,2
SKCM,CDKN1B,missense,tumor-only,2
SKCM,GABRA6,truncating,both,2
ESCA,CCND1,hlamp,model-only,2
SKCM,KDM5C,truncating,both,2
SKCM,KEL,missense,both,2
SKCM,KEL,truncating,both,2
SKCM,ARID1A,missense,both,2
SKCM,BCOR,missense,both,2
BRCA,ARID1A,missense,tumor-only,2
BRCA,AXIN2,missense,tumor-only,2
ESCA,CDKN2A,homdel,model-only,2
ESCA,ALK,missense,tumor-only,2
ESCA,AMER1,missense,tumor-only,2
ESCA,CDK6,hlamp,model-only,2
ESCA,CDK6,hlamp,tumor-only,2
ESCA,CDKN2A,truncating,both,2
ESCA,DMD,missense,model-only,2
ESCA,DNMT3A,missense,both,2
ESCA,ASXL2,missense,both,2
COAD,AXIN2,missense,both,2
COAD,B2M,truncating,both,2
COAD,ACVR1B,missense,both,2
ESCA,CDK12,missense,both,2
ESCA,CDK4,hlamp,both,2
ESCA,COL5A1,missense,both,2
ESCA,COL5A1,missense,model-only,2
COAD,BRCA2,missense,both,2
COAD,CACNA1A,truncating,both,2
COAD,CDKN1A,truncating,both,2
COAD,CASP8,truncating,both,2
COAD,RNF111,missense,both,2
