cancer_type,gene,event,note,count
COAD,ESR1,missense,model-only,1
COAD,EZH2,missense,model-only,1
COAD,KMT2C,truncating,both,1
COAD,KMT2D,missense,tumor-only,1
COAD,KLF5,missense,both,1
COAD,KLF5,truncating,both,1
COAD,KLF5,truncating,tumor-only,1
COAD,KMT2A,missense,tumor-only,1
COAD,KMT2B,deletion,both,1
COAD,MSH3,missense,both,1
COAD,KEL,missense,model-only,1
COAD,MACF1,missense,tumor-only,1
COAD,KRAS,missense,tumor-only,1
COAD,KRT222,missense,both,1
COAD,KRT222,truncating,both,1
COAD,LATS1,missense,both,1
COAD,KMT2C,deletion,model-only,1
COAD,KMT2C,missense,both,1
COAD,GNA13,missense,both,1
COAD,FGFR1,truncating,both,1
COAD,FGFR2,missense,both,1
COAD,FGFR3,missense,both,1
COAD,FGFR3,missense,model-only,1
COAD,FOXA1,missense,both,1
COAD,KDM6A,truncating,model-only,1
COAD,KEAP1,truncating,both,1
COAD,MAP2K4,missense,tumor-only,1
COAD,MAP3K4,missense,both,1
COAD,MAP3K4,truncating,both,1
COAD,NOTCH2,truncating,tumor-only,1
COAD,NSD1,missense,both,1
COAD,NSD1,missense,model-only,1
COAD,NUP93,missense,model-only,1
COAD,PAX5,missense,both,1
COAD,MECOM,missense,both,1
COAD,MECOM,missense,model-only,1
COAD,MECOM,truncating,model-only,1
COAD,MED12,missense,model-only,1
COAD,MED12,missense,tumor-only,1
COAD,MEN1,missense,both,1
COAD,MAP2K1,missense,model-only,1
COAD,MAP2K4,missense,both,1
COAD,MUC6,missense,model-only,1
COAD,MEN1,missense,model-only,1
COAD,MET,missense,both,1
COAD,MGA,missense,both,1
COAD,MGA,truncating,model-only,1
COAD,MGMT,missense,both,1
COAD,MSH2,missense,tumor-only,1
COAD,MSH2,truncating,both,1
COAD,ERBB2,hlamp,both,1
COAD,ERBB2,missense,model-only,1
COAD,EP300,truncating,both,1
COAD,EPAS1,missense,both,1
COAD,HGF,missense,model-only,1
COAD,HLA-A,missense,both,1
COAD,HLA-A,missense,model-only,1
COAD,MUC6,missense,both,1
COAD,DACH1,insertion,model-only,1
COAD,DACH1,missense,both,1
COAD,DAZAP1,truncating,model-only,1
COAD,DDX3X,truncating,both,1
COAD,CTNNB1,truncating,both,1
COAD,CTNNB1,truncating,model-only,1
COAD,CTNND1,truncating,both,1
COAD,CTNND1,truncating,model-only,1
COAD,EGFR,truncating,model-only,1
COAD,EGR3,missense,both,1
COAD,ELF3,truncating,model-only,1
COAD,DIAPH2,truncating,both,1
COAD,DICER1,missense,both,1
COAD,DICER1,missense,model-only,1
COAD,DNMT3A,missense,both,1
COAD,CYSLTR2,missense,both,1
COAD,NFE2L2,truncating,both,1
COAD,MYC,missense,both,1
COAD,MYC,missense,tumor-only,1
COAD,MYCN,truncating,model-only,1
COAD,MYH9,missense,tumor-only,1
COAD,MYH9,truncating,both,1
COAD,PIK3R2,truncating,both,1
COAD,PLCB4,truncating,both,1
COAD,NOTCH1,missense,model-only,1
COAD,NOTCH1,truncating,both,1
COAD,NOTCH2,missense,model-only,1
COAD,NOTCH2,truncating,both,1
COAD,NCOR1,missense,model-only,1
COAD,NF1,missense,model-only,1
COAD,NF1,truncating,both,1
COAD,NFE2L2,missense,both,1
COAD,PTPRC,missense,model-only,1
COAD,CTCF,truncating,model-only,1
COAD,CTNNB1,missense,model-only,1
COAD,CNBD1,truncating,both,1
COAD,COL5A1,truncating,tumor-only,1
COAD,CREBBP,deletion,both,1
COAD,CHD8,truncating,model-only,1
COAD,CHEK2,missense,both,1
COAD,PIK3CA,deletion,both,1
COAD,PIK3CA,missense,model-only,1
COAD,PIK3CA,truncating,both,1
COAD,PIK3CA,truncating,model-only,1
COAD,PDS5B,missense,both,1
COAD,PDS5B,missense,tumor-only,1
COAD,PDS5B,truncating,both,1
COAD,PTPRC,missense,both,1
COAD,PLCG1,truncating,both,1
COAD,PIK3CB,truncating,both,1
COAD,PIK3CB,truncating,model-only,1
COAD,PIK3CG,missense,tumor-only,1
COAD,PIK3CG,truncating,both,1
COAD,PIK3CG,truncating,model-only,1
COAD,PIK3R1,truncating,both,1
COAD,PHF6,missense,model-only,1
COAD,CUL1,missense,both,1
COAD,CUL1,missense,model-only,1
COAD,CUL1,truncating,both,1
COAD,CYLD,truncating,both,1
COAD,FAT1,missense,model-only,1
COAD,FAT1,truncating,both,1
COAD,FAT1,truncating,tumor-only,1
COAD,PLCG1,missense,tumor-only,1
COAD,POLE,missense,both,1
COAD,POLE,truncating,model-only,1
COAD,POLQ,missense,both,1
COAD,POLRMT,missense,model-only,1
COAD,RXRA,truncating,both,1
COAD,SCAF4,truncating,both,1
COAD,SETBP1,missense,model-only,1
COAD,SETBP1,truncating,both,1
COAD,PTPN11,missense,both,1
COAD,PTPN11,missense,model-only,1
COAD,PTPN11,truncating,both,1
COAD,PPM1D,missense,both,1
COAD,PPP6C,missense,both,1
COAD,PSIP1,missense,both,1
COAD,PSIP1,truncating,both,1
COAD,PMS2,truncating,both,1
COAD,EGFR,missense,both,1
COAD,EGFR,truncating,both,1
COAD,RAD21,missense,both,1
COAD,RASA1,truncating,both,1
COAD,RASA1,truncating,tumor-only,1
COAD,PTEN,missense,both,1
COAD,PTEN,missense,tumor-only,1
COAD,PTMA,missense,both,1
COAD,CHEK2,missense,model-only,1
COAD,CIC,missense,both,1
COAD,CIC,missense,model-only,1
COAD,CDKN2A,truncating,model-only,1
COAD,CHD3,insertion,model-only,1
COAD,CHD3,truncating,both,1
COAD,EEF1A1,missense,both,1
COAD,EEF2,missense,both,1
COAD,CDKN2A,missense,both,1
COAD,CBFB,missense,both,1
COAD,CCND1,missense,both,1
COAD,CD79B,missense,both,1
COAD,CDH1,missense,both,1
COAD,CDH1,missense,model-only,1
COAD,CDH1,truncating,model-only,1
COAD,CDK12,deletion,both,1
COAD,RET,missense,tumor-only,1
COAD,RFC1,missense,model-only,1
COAD,SMC1A,truncating,both,1
COAD,SMC3,missense,both,1
COAD,SMC3,truncating,model-only,1
COAD,SOS1,missense,model-only,1
COAD,CDKN1A,missense,tumor-only,1
COAD,CDKN1B,truncating,both,1
COAD,RHOA,missense,tumor-only,1
COAD,RNF111,missense,model-only,1
COAD,RNF43,missense,both,1
COAD,RB1,missense,both,1
COAD,RB1,missense,model-only,1
COAD,RB1,truncating,tumor-only,1
COAD,RBM10,truncating,both,1
COAD,RET,missense,both,1
COAD,SETD2,missense,both,1
COAD,RNF43,missense,model-only,1
COAD,RPS6KA3,missense,both,1
COAD,RUNX1,insertion,both,1
COAD,RUNX1,missense,both,1
COAD,RUNX1,truncating,model-only,1
COAD,RHEB,missense,both,1
COAD,RHEB,missense,model-only,1
COAD,SF1,truncating,model-only,1
COAD,SF3B1,truncating,both,1
COAD,TGFBR2,deletion,both,1
COAD,BAP1,truncating,both,1
COAD,BCL2,missense,both,1
COAD,ATR,truncating,both,1
COAD,ATRX,missense,tumor-only,1
COAD,ATXN3,missense,both,1
COAD,SMARCA4,truncating,model-only,1
COAD,SMARCB1,truncating,both,1
COAD,SIN3A,truncating,both,1
COAD,SMAD2,insertion,both,1
COAD,SMAD3,homdel,tumor-only,1
COAD,SMAD4,homdel,model-only,1
COAD,SMAD4,homdel,tumor-only,1
COAD,SETD2,truncating,tumor-only,1
COAD,CSDE1,missense,both,1
COAD,CSDE1,truncating,model-only,1
COAD,SOS1,truncating,both,1
COAD,SOS1,truncating,model-only,1
COAD,SMAD4,truncating,both,1
COAD,SMARCA1,missense,both,1
COAD,SMARCA1,missense,tumor-only,1
COAD,SMARCA4,missense,model-only,1
COAD,BTG2,missense,both,1
COAD,CACNA1A,truncating,model-only,1
COAD,CASP8,missense,model-only,1
COAD,BCL2L11,missense,tumor-only,1
COAD,BCOR,missense,tumor-only,1
COAD,BRCA1,missense,both,1
COAD,BRCA1,truncating,both,1
COAD,CREBBP,missense,tumor-only,1
COAD,TBX3,truncating,both,1
COAD,SOX17,truncating,both,1
COAD,SOX9,missense,both,1
COAD,SPOP,missense,both,1
COAD,SPTAN1,truncating,both,1
COAD,STK11,missense,both,1
COAD,ZBTB7B,missense,model-only,1
COAD,ZFHX3,deletion,both,1
COAD,TGIF1,missense,both,1
COAD,TGIF1,truncating,both,1
COAD,TBX3,truncating,model-only,1
COAD,TCF7L2,missense,model-only,1
COAD,TAF1,missense,model-only,1
COAD,TAF1,missense,tumor-only,1
COAD,TAF1,truncating,both,1
COAD,TBL1XR1,missense,both,1
COAD,ARID1A,missense,tumor-only,1
COAD,ARID2,missense,tumor-only,1
COAD,ARID5B,missense,both,1
COAD,ARID5B,missense,model-only,1
COAD,CDK12,missense,both,1
COAD,CDK4,missense,both,1
COAD,CDKN1A,missense,both,1
COAD,TGFBR2,missense,model-only,1
COAD,ATXN3,truncating,both,1
COAD,ARID5B,truncating,model-only,1
COAD,ASXL1,missense,both,1
COAD,ASXL1,missense,model-only,1
COAD,ASXL1,truncating,model-only,1
COAD,ASXL2,missense,both,1
COAD,ASXL2,truncating,model-only,1
COAD,ATF7IP,missense,both,1
COTA,ZNF217,hlamp,both,1
DCIS,CHD4,missense,model-only,1
DCIS,FOXA1,missense,tumor-only,1
COTA,CDK6,hlamp,model-only,1
COTA,CHD4,truncating,both,1
COTA,EGFR,hlamp,model-only,1
COTA,EPHA3,missense,both,1
COTA,IDH1,hlamp,model-only,1
COAD,TP53,missense,tumor-only,1
COAD,TP53,truncating,model-only,1
COAD,TRAF3,missense,model-only,1
COTA,MYC,missense,both,1
COTA,RB1,hlamp,model-only,1
COTA,TERT,promoter,both,1
COTA,TP53,missense,both,1
COTA,XPO1,hlamp,model-only,1
COAD,TSC1,truncating,model-only,1
COAD,TSC2,deletion,both,1
COAD,TSC2,missense,both,1
COAD,TSC2,truncating,both,1
COAD,TSC2,truncating,model-only,1
COAD,UNCX,missense,both,1
COAD,USP9X,missense,both,1
COAD,TLR4,missense,both,1
COAD,ZFHX3,missense,model-only,1
COAD,ZFP36L2,deletion,both,1
COAD,USP9X,missense,model-only,1
COAD,USP9X,truncating,both,1
COAD,WT1,missense,both,1
COAD,WT1,missense,model-only,1
COAD,XPO1,hlamp,model-only,1
COAD,XPO1,missense,both,1
COAD,AMER1,missense,tumor-only,1
CHOL,ZC3H12A,missense,both,1
CHOL,ZFP36L2,truncating,both,1
COAD,ABL1,missense,model-only,1
COAD,ACVR1,missense,both,1
COAD,ACVR1B,truncating,tumor-only,1
COAD,AKT1,missense,both,1
CHOL,SMAD2,missense,model-only,1
ESCA,AXIN2,truncating,model-only,1
ESCA,BAP1,missense,tumor-only,1
ESCA,BCL2,missense,model-only,1
COAD,AR,missense,both,1
COAD,AR,missense,model-only,1
COAD,ARID1A,missense,both,1
COAD,ALB,missense,tumor-only,1
COAD,ALB,truncating,both,1
COTA,CCNE1,hlamp,model-only,1
COTA,CDK5,hlamp,model-only,1
COAD,ZFP36L2,missense,model-only,1
COAD,ZMYM2,deletion,both,1
COAD,ZMYM2,truncating,model-only,1
COAD,ZNF133,missense,both,1
COAD,ZNF133,truncating,model-only,1
ESCA,AXIN2,truncating,both,1
COTA,KRAS,hlamp,both,1
COTA,LZTR1,missense,both,1
COTA,MACF1,missense,model-only,1
COAD,ZNF750,missense,both,1
COTA,ALK,missense,both,1
COTA,APC,truncating,both,1
COTA,BRAF,hlamp,model-only,1
COTA,CCND2,hlamp,model-only,1
DCIS,MAP3K1,missense,both,1
DCIS,PIK3CA,missense,both,1
DCIS,PTPRC,missense,tumor-only,1
DEST,RPS6KA3,missense,model-only,1
ESCA,AJUBA,missense,both,1
ESCA,CHD8,missense,both,1
ESCA,CHD8,missense,model-only,1
ESCA,CIC,missense,both,1
ESCA,ATRX,missense,model-only,1
ESCA,ATXN3,missense,both,1
ESCA,AR,deletion,both,1
ESCA,AR,missense,both,1
ESCA,ARAF,truncating,both,1
ESCA,ARHGAP35,missense,model-only,1
ESCA,ARID1A,deletion,both,1
ESCA,ARID1A,missense,tumor-only,1
ESCA,BCOR,truncating,both,1
ESCA,BRCA1,missense,model-only,1
ESCA,BRCA1,truncating,both,1
ESCA,BRD7,missense,both,1
ESCA,ARID2,missense,both,1
ESCA,ATM,deletion,both,1
ESCA,ATM,missense,model-only,1
ESCA,ATRX,missense,both,1
CHOL,SMAD4,missense,both,1
CHOL,SMAD4,truncating,both,1
CHOL,TAF1,missense,both,1
CHOL,TCF7L2,deletion,both,1
CHOL,TERT,promoter,both,1
CHOL,TGFBR2,truncating,both,1
COAD,AXIN1,missense,both,1
COAD,AXIN2,truncating,both,1
ESCA,DAZAP1,truncating,model-only,1
ESCA,DHX9,missense,tumor-only,1
ESCA,DHX9,truncating,both,1
ESCA,DMD,missense,both,1
ESCA,DMD,missense,tumor-only,1
ESCA,DMD,truncating,both,1
ESCA,COL5A1,truncating,both,1
ESCA,CREB3L3,truncating,both,1
ESCA,ESR1,truncating,both,1
ESCA,EZH2,missense,both,1
ESCA,EEF2,missense,both,1
ESCA,EGR3,missense,both,1
ESCA,EGR3,missense,model-only,1
ESCA,ELF3,truncating,both,1
ESCA,EP300,missense,both,1
ESCA,EP300,missense,model-only,1
ESCA,CDKN1B,truncating,both,1
ESCA,CARD11,missense,both,1
ESCA,CBFB,missense,both,1
ESCA,CD44,hlamp,both,1
ESCA,CDH1,missense,both,1
ESCA,EP300,truncating,tumor-only,1
ESCA,ERBB4,truncating,model-only,1
ESCA,ERCC2,missense,both,1
ESCA,CIC,truncating,both,1
ESCA,CNBD1,missense,both,1
ESCA,CNBD1,missense,tumor-only,1
ESCA,CDKN1B,truncating,model-only,1
ESCA,CDKN2A,homdel,tumor-only,1
ESCA,CHD3,truncating,both,1
ESCA,CDH1,truncating,both,1
ESCA,CDK4,hlamp,model-only,1
CHOL,KMT2A,truncating,both,1
CHOL,KMT2B,truncating,both,1
CHOL,KMT2C,missense,both,1
CHOL,KMT2D,truncating,both,1
CHOL,MACF1,missense,both,1
CHOL,FLNA,missense,both,1
CHOL,FLNA,missense,tumor-only,1
CHOL,FLT3,missense,both,1
CHOL,MYH9,deletion,both,1
CHOL,NCOR1,missense,both,1
CHOL,NIPBL,missense,both,1
CHOL,NOTCH2,missense,model-only,1
CHOL,PDGFRA,missense,both,1
CHOL,PDS5B,truncating,both,1
CHOL,KDM6A,missense,both,1
CHOL,KIF1A,truncating,both,1
ESCA,KAT6A,hlamp,both,1
ESCA,KAT6A,hlamp,tumor-only,1
CHOL,RBM10,missense,both,1
CHOL,RET,missense,both,1
CHOL,SCAF4,truncating,both,1
CHOL,SETD2,truncating,both,1
CHOL,MED12,missense,both,1
CHOL,MEN1,truncating,both,1
ESCA,CREBBP,missense,model-only,1
ESCA,CREBBP,truncating,both,1
ESCA,CTNND1,truncating,both,1
ESCA,CUL1,missense,model-only,1
ESCA,CUL1,truncating,both,1
ESCA,DACH1,truncating,both,1
ESCA,JAK3,missense,both,1
ESCA,KANSL1,truncating,both,1
ESCA,FBXW7,truncating,both,1
ESCA,FGF1,hlamp,tumor-only,1
ESCA,FGFR1,missense,both,1
ESCA,FGFR2,missense,both,1
ESCA,FGFR3,missense,both,1
ESCA,FGFR3,truncating,both,1
ESCA,FLNA,truncating,both,1
ESCA,MGA,truncating,both,1
ESCA,IRF6,missense,model-only,1
ESCA,JAK1,missense,both,1
ESCA,JAK1,missense,tumor-only,1
ESCA,FUBP1,truncating,both,1
ESCA,GABRA6,truncating,both,1
ESCA,GNAQ,truncating,model-only,1
ESCA,GNAS,missense,model-only,1
ESCA,FAT1,missense,model-only,1
ESCA,KDM6A,missense,both,1
ESCA,KEAP1,missense,model-only,1
ESCA,KEL,missense,model-only,1
ESCA,GPS2,truncating,both,1
ESCA,HLA-A,missense,both,1
ESCA,HUWE1,missense,both,1
ESCA,INPPL1,missense,both,1
ESCA,INPPL1,missense,model-only,1
CHOL,HGF,missense,both,1
CHOL,INPPL1,truncating,both,1
CHOL,IRF2,truncating,both,1
CHOL,JAK1,truncating,both,1
CHOL,JAK2,missense,both,1
COAD,APC,deletion,both,1
COAD,APC,missense,both,1
ESCA,KDM5C,missense,model-only,1
ESCA,POLRMT,missense,both,1
ESCA,PPM1D,truncating,both,1
ESCA,PPP2R1A,missense,both,1
ESCA,PPP6C,missense,model-only,1
ESCA,PRKAR1A,missense,both,1
ESCA,PTCH1,missense,both,1
ESCA,PIK3CG,missense,both,1
ESCA,PLCG1,missense,both,1
ESCA,LEMD2,missense,both,1
ESCA,MACF1,missense,both,1
ESCA,KIF1A,missense,both,1
ESCA,KIF1A,missense,model-only,1
ESCA,KLF5,truncating,both,1
ESCA,KMT2B,missense,both,1
ESCA,KMT2D,truncating,both,1
ESCA,POLQ,truncating,both,1
ESCA,MDM2,hlamp,tumor-only,1
ESCA,MECOM,truncating,both,1
ESCA,MED12,missense,both,1
ESCA,KRAS,hlamp,model-only,1
ESCA,KRAS,hlamp,tumor-only,1
ESCA,KRT222,missense,both,1
ESCA,LATS1,missense,model-only,1
ESCA,LATS1,truncating,both,1
ESCA,MSH3,truncating,model-only,1
ESCA,MTOR,truncating,both,1
ESCA,MUC6,missense,both,1
ESCA,MUC6,missense,model-only,1
ESCA,MACF1,missense,model-only,1
ESCA,MAP2K1,missense,both,1
ESCA,MAP3K1,missense,model-only,1
ESCA,MAP3K4,truncating,both,1
ESCA,STK11,truncating,both,1
ESCA,TBL1XR1,missense,both,1
ESCA,TBX3,missense,both,1
ESCA,SMAD4,missense,tumor-only,1
ESCA,SMAD4,truncating,both,1
ESCA,SMARCA1,missense,both,1
ESCA,SMARCA1,missense,model-only,1
ESCA,SMARCA4,truncating,both,1
ESCA,NF1,truncating,tumor-only,1
ESCA,NIPBL,missense,both,1
ESCA,NOTCH1,missense,both,1
ESCA,NOTCH1,truncating,both,1
ESCA,NSD1,missense,both,1
ESCA,SOX17,missense,both,1
ESCA,SPTA1,missense,model-only,1
ESCA,STK11,missense,model-only,1
ESCA,PBRM1,truncating,both,1
ESCA,PDGFRA,missense,both,1
ESCA,PDGFRA,missense,model-only,1
ESCA,PGR,missense,both,1
ESCA,PIK3CA,deletion,both,1
ESCA,MYCN,truncating,both,1
ESCA,MYH9,deletion,tumor-only,1
ESCA,NCOR1,missense,model-only,1
ESCA,PLXNB2,missense,both,1
ESCA,PLXNB2,missense,tumor-only,1
ESCA,PLXNB2,truncating,model-only,1
ESCA,PMS2,missense,tumor-only,1
ESCA,POLE,truncating,both,1
ESCA,NSD1,missense,model-only,1
ESCA,NUP133,missense,both,1
ESCA,PBRM1,missense,both,1
ESCA,ZBTB7B,missense,both,1
ESCA,ZCCHC12,missense,both,1
ESCA,ZCCHC12,missense,model-only,1
ESCA,ZFHX3,deletion,model-only,1
ESCA,ZMYM2,missense,model-only,1
ESCA,ZNF133,truncating,tumor-only,1
ESCA,TP53,truncating,model-only,1
ESCA,TSC2,missense,both,1
GBAD,APC,truncating,both,1
GBAD,BCOR,truncating,both,1
GBAD,CDK12,truncating,both,1
GBAD,CDKN2A,homdel,both,1
GBAD,CTNNB1,missense,both,1
GBAD,EEF1A1,missense,both,1
GBAD,ERBB2,missense,both,1
ESCA,ZBTB20,truncating,both,1
ESCA,PTEN,truncating,both,1
ESCA,PTPDC1,missense,both,1
ESCA,PTPRC,missense,both,1
ESCA,PTPRC,missense,model-only,1
ESCA,PTPRD,missense,both,1
ESCA,RARA,missense,model-only,1
ESCA,RB1,missense,both,1
ESCA,ZNF750,missense,both,1
ESCA,SMC1A,missense,model-only,1
ESCA,RET,missense,both,1
ESCA,RHEB,truncating,both,1
ESCA,RPL22,truncating,both,1
ESCA,RPS6KA3,missense,model-only,1
ESCA,SETBP1,missense,both,1
ESCA,SETD2,missense,model-only,1
ESCA,SETD2,truncating,both,1
GBM,ATM,missense,both,1
GBM,ABL1,truncating,tumor-only,1
GBM,ACVR1,missense,model-only,1
GBM,AKT1,missense,both,1
GBM,ALK,missense,model-only,1
GBM,APC,missense,model-only,1
GBM,ARID1A,missense,both,1
GBM,ARID1A,missense,model-only,1
GBM,BRCA2,missense,both,1
GBM,ARID1A,truncating,tumor-only,1
GBM,ARID2,missense,tumor-only,1
GBM,ARID2,truncating,model-only,1
GBM,ASXL1,missense,both,1
GBM,ASXL1,missense,model-only,1
GBM,ASXL2,missense,model-only,1
GBM,ATF7IP,missense,both,1
ESCA,TNFAIP3,missense,both,1
GBM,ATM,missense,model-only,1
GBM,ATRX,truncating,both,1
GBM,ATRX,truncating,model-only,1
GBM,AXIN2,missense,model-only,1
GBM,BCOR,missense,tumor-only,1
GBM,BCOR,truncating,both,1
GBM,BRCA1,missense,model-only,1
ESCA,TSC2,missense,model-only,1
ESCA,UNCX,missense,model-only,1
ESCA,USP9X,truncating,both,1
ESCA,XPO1,missense,both,1
ESCA,TBX3,truncating,both,1
ESCA,TCF7L2,missense,both,1
ESCA,TERT,promoter,both,1
ESCA,TERT,promoter,model-only,1
CHOL,ABL1,missense,tumor-only,1
CHOL,AR,missense,both,1
CHOL,ARID1A,truncating,both,1
CHOL,ARID2,truncating,both,1
CHOL,ASXL2,missense,both,1
CHOL,ATR,missense,both,1
CHOL,BAP1,truncating,both,1
BRCA,XPO1,missense,tumor-only,1
CHOL,BCOR,missense,both,1
CHOL,BRCA1,truncating,both,1
CHOL,CACNA1A,truncating,both,1
CHOL,CDK12,missense,tumor-only,1
CHOL,CDK12,truncating,both,1
CHOL,CDKN2A,truncating,both,1
CHOL,DAZAP1,truncating,both,1
CHOL,ABL1,missense,both,1
GBAD,SPTA1,truncating,model-only,1
GBM,CIC,missense,model-only,1
GBM,CNBD1,truncating,tumor-only,1
GBM,COL5A1,missense,both,1
CHOL,EPHA2,missense,both,1
CHOL,EPHA2,truncating,both,1
CHOL,ERBB3,missense,both,1
CHOL,FGFR1,missense,both,1
GBM,ARID1A,truncating,both,1
GBAD,ERBB3,missense,both,1
GBAD,ESR1,missense,both,1
GBAD,GNAS,truncating,both,1
GBAD,KANSL1,truncating,model-only,1
GBAD,KLF5,missense,model-only,1
GBAD,LATS2,missense,tumor-only,1
GBAD,SMC3,missense,both,1
GBM,CACNA1A,missense,both,1
GBM,CACNA1A,missense,model-only,1
GBM,CACNA1A,missense,tumor-only,1
GBM,CARD11,missense,both,1
GBM,CARD11,missense,tumor-only,1
GBM,CBFB,missense,both,1
GBM,CCND2,hlamp,model-only,1
GBM,EP300,missense,both,1
GBM,CHD4,missense,model-only,1
GBM,CHD8,missense,tumor-only,1
GBM,CHEK2,missense,tumor-only,1
GBM,CDK12,missense,both,1
GBM,CDK12,missense,model-only,1
GBM,CDK4,hlamp,tumor-only,1
GBM,CDK4,missense,both,1
GBM,CDKN1B,missense,tumor-only,1
CHOL,PSIP1,truncating,both,1
CHOL,PTEN,truncating,both,1
GBM,COL5A1,missense,model-only,1
GBM,COL5A1,missense,tumor-only,1
GBM,COL5A1,truncating,model-only,1
GBM,CREB3L3,missense,model-only,1
GBM,CDKN2A,truncating,model-only,1
GBM,CHD4,missense,both,1
BRCA,ZBTB20,missense,model-only,1
BRCA,ZC3H12A,truncating,model-only,1
BRCA,ZCCHC12,missense,both,1
BRCA,ZFHX3,missense,tumor-only,1
BRCA,ZMYM2,missense,both,1
BRCA,ZMYM3,missense,both,1
CHOL,PLXNB2,deletion,both,1
CHOL,POLE,missense,both,1
GBM,CTNND1,truncating,model-only,1
GBM,IL7R,missense,both,1
GBM,INPPL1,missense,model-only,1
GBM,IRF2,missense,both,1
GBM,JAK1,missense,model-only,1
GBM,JAK2,missense,tumor-only,1
GBM,KANSL1,missense,model-only,1
GBM,KDM6A,missense,model-only,1
GBM,DICER1,missense,tumor-only,1
GBM,DICER1,truncating,model-only,1
GBM,CREB3L3,truncating,model-only,1
GBM,CREBBP,missense,both,1
GBM,CREBBP,truncating,model-only,1
GBM,CTNNB1,truncating,both,1
GBM,CTNND1,missense,both,1
GBM,CTNND1,missense,model-only,1
GBM,EEF2,missense,both,1
GBM,EEF2,missense,model-only,1
GBM,CUL1,missense,model-only,1
GBM,CUL3,missense,both,1
GBM,CYSLTR2,missense,model-only,1
GBM,DHX9,missense,model-only,1
GBM,DIAPH2,missense,model-only,1
GBM,DICER1,missense,model-only,1
GBM,EP300,missense,model-only,1
GBM,EPAS1,missense,both,1
GBM,ERBB2,missense,model-only,1
GBM,ERBB4,missense,both,1
GBM,DMD,missense,both,1
GBM,DNMT3A,missense,both,1
GBM,DNMT3A,missense,model-only,1
GBM,DNMT3A,missense,tumor-only,1
GBM,MECOM,missense,both,1
GBM,MET,missense,both,1
GBM,MGA,missense,model-only,1
GBM,MGMT,missense,both,1
GBM,LEMD2,missense,model-only,1
GBM,LZTR1,truncating,both,1
GBM,MACF1,missense,model-only,1
GBM,MACF1,truncating,model-only,1
GBM,FAT1,truncating,tumor-only,1
GBM,FBXW7,missense,model-only,1
GBM,FBXW7,truncating,model-only,1
GBM,FGFR3,missense,tumor-only,1
GBM,FGFR3,truncating,model-only,1
GBM,FLNA,missense,both,1
GBM,MAX,missense,tumor-only,1
GBM,MDM2,hlamp,both,1
GBM,FLT3,missense,tumor-only,1
GBM,FOXA1,missense,both,1
GBM,FUBP1,missense,both,1
GBM,GABRA6,missense,both,1
GBM,GNA11,missense,tumor-only,1
GBM,GNAS,missense,both,1
GBM,GNAS,missense,model-only,1
GBM,FAT1,truncating,model-only,1
GBM,GNAS,truncating,model-only,1
GBM,GPS2,missense,tumor-only,1
GBM,GRIN2D,missense,model-only,1
GBM,GTF2I,missense,both,1
GBM,GTF2I,missense,tumor-only,1
GBM,HUWE1,missense,both,1
GBM,IDH1,missense,model-only,1
GBM,IL6ST,truncating,model-only,1
GBM,PBRM1,truncating,both,1
GBM,MYH9,missense,model-only,1
GBM,NF1,missense,model-only,1
GBM,NF2,missense,both,1
GBM,NF2,missense,model-only,1
GBM,NF2,truncating,both,1
GBM,NFE2L2,missense,both,1
GBM,MSH2,truncating,both,1
GBM,PDGFRA,missense,model-only,1
GBM,PDGFRA,missense,tumor-only,1
GBM,PDS5B,missense,both,1
GBM,NFE2L2,truncating,both,1
GBM,NOTCH1,missense,model-only,1
GBM,NSD1,missense,model-only,1
GBM,NUP133,missense,tumor-only,1
GBM,PBRM1,missense,both,1
GBM,LATS2,missense,model-only,1
GBM,KEL,missense,tumor-only,1
GBM,KIF1A,missense,both,1
GBM,KMT2A,truncating,both,1
GBM,KMT2B,missense,model-only,1
GBM,KMT2B,missense,tumor-only,1
GBM,PDGFRA,hlamp,model-only,1
GBM,PDGFRA,missense,both,1
GBM,MAP3K1,missense,tumor-only,1
GBM,MAX,missense,both,1
GBM,KMT2C,missense,model-only,1
GBM,KMT2C,missense,tumor-only,1
GBM,KMT2C,truncating,both,1
GBM,KMT2C,truncating,tumor-only,1
GBM,KMT2D,missense,model-only,1
GBM,KRAS,missense,model-only,1
BRCA,SPOP,missense,both,1
BRCA,SPTA1,missense,model-only,1
BRCA,SPTA1,truncating,both,1
BRCA,RUNX1,truncating,both,1
BRCA,RXRA,missense,both,1
BRCA,SCAF4,missense,both,1
BRCA,SETD2,truncating,both,1
BRCA,SF1,missense,both,1
BRCA,TERT,promoter,both,1
BRCA,TGIF1,missense,model-only,1
BRCA,TLR4,truncating,model-only,1
BRCA,SMARCA1,missense,tumor-only,1
BRCA,SMARCA4,missense,both,1
BRCA,SMARCA4,truncating,both,1
BRCA,SMC3,missense,both,1
BRCA,SOX17,missense,model-only,1
BRCA,TXNIP,missense,both,1
BRCA,USP9X,missense,both,1
BRCA,VHL,missense,tumor-only,1
BRCA,SPTAN1,missense,both,1
BRCA,STAG2,missense,model-only,1
BRCA,STK11,missense,model-only,1
BRCA,TAF1,missense,both,1
BRCA,TCF12,truncating,model-only,1
GBM,MSH3,missense,model-only,1
GBM,MSH6,missense,model-only,1
